Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child wasting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Child stunting (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths),Low birth weight (deaths)
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
22778.84925,22292.69111,23102.197940000002,27902.669960000003,32929.00593,35631.99703,36114.59323,36749.11745,36569.46557,36124.04656,34320.3646,32430.506889999997,30516.31945,30053.87098,29568.25388,27799.719160000004,26233.63565,24012.81334,21793.39406,20333.93481,18946.894669999998,17867.741130000002,16980.38011,16308.282169999999,15825.36225,15344.889659999999,14695.046709999999,14575.269209999999,10408.43885,10271.976429999999,10618.87978,12260.093840000001,14197.94796,15243.02091,16009.918440000001,16473.89791,16665.712669999997,16729.538959999998,16400.03695,15848.94208,15023.02795,11925.069,10771.52273,10077.02972,9646.267726,9006.125617,8738.754599,8566.991887999999,7632.4214790000005,7198.097615000001,6948.652169,6032.637077,5705.569147,5617.86218,5127.232624,4990.036917,12168.564629999999,12360.63537,13459.593719999999,18458.42913,19958.38854,20444.7094,21072.04331,21262.69253,21214.163930000002,20972.044009999998,19140.90536,19273.2247,18251.12966,20533.49489,19586.839780000002,19645.29504,19630.86897,18017.71132,17925.45863,17695.05376,17102.56811,17243.037,17014.6839,17068.9472,17395.48932,17281.75161,17119.40608,17453.446330000002
46093.4977,47208.80576,47893.40198,48810.88213,49890.20921,50368.4931,48854.724519999996,47293.78017,45855.107560000004,44294.96137,42970.817339999994,40684.02921,38599.898689999995,36715.82602,35803.49915,34163.8819,34281.3544,31442.80695,29895.27348,28385.556589999997,27034.549219999997,25316.46406,23606.18493,21771.78272,19951.32428,18474.8036,16872.917859999998,15969.58181,12917.17713,13150.04249,13333.90027,13554.43111,13720.77059,13669.213440000001,13434.45779,13206.220140000001,12866.68363,12518.092129999999,12215.00268,11642.759170000001,11165.07834,10813.50184,9073.144461,8511.196022,8604.957524,7730.386788,7418.075692,7542.965744,6904.790916,6476.10233,5932.440817000001,5413.977901,4980.777023,4354.971409000001,3894.409681,3714.046908,10902.75833,11136.99337,11335.94091,11591.657,11811.77527,11980.89412,12112.49423,12258.85478,12366.256370000001,12497.58902,12629.39375,12687.278059999999,12798.79525,12919.63909,13008.3236,13006.77285,12980.61602,12869.42112,12760.01064,12720.90268,12668.542370000001,12566.594790000001,12494.243359999999,12399.05107,12186.29055,11884.06963,11569.5351,11337.98366
1022.820898,1006.071416,980.3009742999999,933.0093358999999,866.9100028999999,741.4951083999999,635.8547031,535.3485973999999,440.11756460000004,378.3711288,316.77167460000004,224.6609055,176.7143501,140.59339219999998,112.3987149,93.64067291,79.72736042,68.06961472,62.59380482,56.65092845,52.73128951,49.74336379,47.82446034,46.24103672,44.82094791,43.357227,41.89728747,40.61320894,339.26693,302.1358538,294.7328441,279.88500869999996,258.0085616,219.858907,185.96712319999997,153.416642,123.12760870000001,102.8093329,84.8716257,59.35310549,45.65480452,35.51442327,27.72459456,22.48062226,18.74859073,15.66960636,14.06508758,12.50975238,11.46802198,10.66405072,10.14193754,9.703868386,9.323137478,8.950554872,8.596328657,8.280518643999999,636.1026287000001,621.6676297,609.2910193,592.6278752999999,572.5703087,546.7799663,517.6400565,481.0779711,441.9153815,486.9375141,352.57169060000007,312.1388784,280.0504789,253.81367630000003,229.77293889999999,211.02022540000002,193.851506,177.083985,166.9293482,154.30437,144.9486112,138.72930390000002,131.8565535,125.8853591,121.05771370000001,114.5691858,111.1860816,106.8532782
0.101712676,0.105220845,0.112322,0.111812985,0.112818721,0.111989904,0.111853516,0.11150869,0.110758223,0.11075878,0.11194646800000001,0.11248062699999999,0.113061879,0.12125944300000001,0.13050577900000002,0.137060947,0.141422801,0.147875035,0.15276342199999998,0.156640688,0.157538123,0.150769137,0.149424061,0.148049008,0.147807459,0.147556567,0.15009091300000002,0.154660253,0.005432836999999999,0.005433487,0.005697748000000001,0.005311265,0.005098386,0.004845638,0.004576361,0.0043028,0.003967257,0.0036529740000000002,0.003395097,0.0031487190000000003,0.002749481,0.002923057,0.003123577,0.003326419,0.0033313440000000004,0.0033872629999999997,0.003337277,0.003187545,0.0029505,0.002762792,0.002554738,0.002182167,0.0018480670000000001,0.001516486,0.0014813889999999998,0.0014008279999999998,1.045922671,1.147750042,1.213840461,1.139123764,1.031760969,0.9630798009999999,0.902001985,0.8594687990000001,0.804052448,0.749228868,0.6805398309999999,0.630168033,0.588418722,0.684617713,0.760524427,0.7808803059999999,0.764832583,0.748383328,0.729628033,0.67227166,0.626799908,0.576086392,0.521153961,0.457621641,0.406079361,0.353111642,0.34399135200000003,0.326638355
56.84778547,50.53952102,44.726612,39.77955069,35.39495232,31.15738958,27.20090653,24.85937093,24.19585268,22.46498742,21.28487585,21.47801439,20.30912785,20.67088164,21.21066426,21.65178604,22.40942954,27.30214421,29.99282523,35.26970401,39.59095303,39.20995708,38.32201333,35.84186093,32.42876498,28.97198776,22.5411546,19.23581274,10.26285246,8.877516106,7.64679084,6.613713692999999,5.74787811,4.944259407,4.209046453,3.725088649,3.4948992939999997,2.9019350989999997,2.478295293,2.433853067,1.969964074,1.9706057819999998,2.0283508319999997,2.123823436,2.341018694,3.51637084,3.706032509,4.119066888,4.573476224,4.646687957,4.782067093999999,4.602718962,4.233741444,3.7511492360000003,2.308246021,1.741539467,266.6801233,241.88118369999998,218.9477836,199.29558600000001,182.04469630000003,167.9469517,157.079136,152.7378106,156.1048175,163.10126019999998,169.3457122,176.0421409,183.6720696,191.6114935,198.87949790000002,202.8282966,204.46697880000002,242.5900562,293.960954,400.30205639999997,397.39885539999995,385.6075533,358.98848710000004,337.74093849999997,310.5147517,282.4573208,258.0740499,230.63874449999997
2248.363511,2175.081168,2051.9623070000002,1951.767191,1877.883278,1942.294563,2006.858387,2058.799568,2181.97432,2156.207104,2115.320586,2122.322815,2241.440647,2209.480307,1981.547371,1782.8976149999999,1712.784994,1757.0179679999999,1675.0031800000002,1607.067131,1541.143126,1477.506249,1394.046011,1361.1399199999998,1313.396422,1284.037432,1299.20454,1298.508278,161.2647237,153.6104998,139.6396681,129.40800049999999,120.83794089999999,120.9799186,119.11182720000001,108.969944,108.1519688,95.34229618,89.10915458,84.59078742,86.66326936,83.44500867,70.86781477,60.95682962,59.43966507,64.22098362,63.62007947,59.44639229999999,55.07475451,51.32988442,45.15343975,43.24745417,40.55086233,35.99814167,34.59827993,33.24182383,6339.9009719999995,6179.173970000001,5810.29119,5545.881381,5220.743682,5058.271568,4949.969955,4655.1882590000005,4659.622509000001,4361.546132,4217.531231,4073.031823,4246.844209000001,4125.626613,3744.678346,3379.446454,3237.2655649999997,3279.4448,3239.759905,3150.4761320000002,3105.295509,3048.806307,2896.443917,2900.778198,2867.138024,2659.37922,2622.075857,2566.976883
589.907971,542.511888,512.6046187,462.82579519999996,407.6052541,348.6747587,294.3864804,247.91240499999998,212.07560619999998,187.2554284,165.4724468,145.49290290000002,121.23133529999998,102.1606434,87.82656405,76.30487076,62.29222629,55.39050735,53.65775405,55.04924834,56.44129958,55.96812308,51.16330805,46.75987275,43.13748257,40.09427556,37.83858401,34.58214277,132.98828079999998,120.7525568,112.3115129,100.44559029999999,87.75188567,73.85045582,61.71823379,51.22605924,43.11083432,37.77355628,33.08288165,28.76418582,23.67670686,19.79972255,17.288211399999998,15.11950001,12.3919427,10.91005904,10.54482759,10.75371435,10.8856062,10.63084125,9.528880823,8.539468087000001,7.62728939,6.871088803999999,6.279417743,5.522294501,902.5994353,815.7695846,745.7058363,685.527821,633.9967583,577.4019436000001,526.2410928999999,470.23748059999997,411.7490331,362.8800497,328.4789542,300.0578615,269.1555746,243.6867088,224.0462926,199.2040871,168.7899918,147.5724343,147.29623840000002,150.37741619999997,151.0634566,147.3234353,132.58555520000002,122.9741915,118.3185304,109.95384840000001,105.22834180000001,98.71227335
3.94672974,3.952155336,3.940384768,3.946879151,3.924994363,3.8819651719999997,3.842511242,3.782360598,3.732091306,3.647138767,3.609338423,3.52742706,3.3921130980000003,3.279825055,3.168198838,3.005783956,2.805873384,2.570935665,2.473371319,2.39821396,2.331018839,2.302791036,2.294920817,2.339055573,2.3639972609999997,2.334964943,2.299273468,2.2858599230000003,0.354282153,0.347509485,0.33908976799999996,0.335590467,0.32854267,0.319024944,0.30810398699999997,0.294648512,0.288149343,0.278096282,0.265020559,0.25838176,0.254637703,0.24928685899999997,0.24263195399999998,0.231381765,0.22007427300000001,0.20524159,0.193246262,0.182988843,0.17025474100000001,0.157910567,0.147577126,0.140266174,0.13454598199999998,0.129760612,0.12469269699999999,0.120446908,7.783465176,7.753024956,7.744947353,7.769794136,7.7318356,7.665672334,7.54525747,7.3719802670000005,7.315613186,6.900058965,6.449658531,6.2371104520000005,5.970444725,5.671767377999999,5.26416148,4.812694249,4.4548670239999995,4.0976720669999995,3.818671415,3.601405976,3.339353392,3.131366477,2.9883681889999996,2.908074127,2.89297518,2.8346965589999997,2.775838761,2.734630469
3.653195845,3.632599225,3.6082670119999998,3.560504807,3.56079689,3.5139959060000003,3.5093760389999997,3.440068557,3.3286732939999997,3.277119902,3.2820653269999998,3.251947627,3.226786488,3.178930982,3.178595098,3.0921351710000002,2.968023617,2.9223301810000004,2.8832185810000004,2.8328845539999996,2.87042421,2.868442683,2.8126874689999997,2.852708883,3.054069543,3.07474844,3.001614533,2.980395586,0.114377145,0.109563795,0.107202464,0.10911244,0.109330684,0.111288925,0.11342514599999999,0.115969739,0.116829399,0.118157651,0.11774027599999999,0.12023518300000001,0.120533881,0.12023498199999999,0.123425591,0.122579883,0.11939563,0.11741913,0.113579734,0.110873153,0.110042221,0.108332485,0.105499422,0.10343419300000001,0.098566388,0.094406549,0.089600584,0.08546537400000001,5.663821284,5.851243788,6.299678517,6.914689069,7.375121288,7.794794238,8.129519317,8.149930795,8.069993631000001,7.870268228,7.717405587000001,7.782218009,7.575459942999999,7.170638436,7.027773408,6.441645531,5.920793135,5.503906942,5.032665739,4.751858865,4.5249031230000005,4.332570262,4.162504922,4.02055503,3.8540758360000003,3.69814116,3.6325828139999996,3.569663611
