,pedmort_2016,pedmort_53mean,pedmort_3mean,Code,sanit_2015,sanit_21mean,sanit_3mean,Country or region,Outcome,democ_2018,latitude,within_tropics
57,1.7,5.6327777779999995,1.813333333,JOR,98.6,97.88636364,98.6,Jordan,0,0.0,30.585164000000002,0
58,1.0,5.162790698,1.203333333,KAZ,97.5,96.83636364,97.5,Kazakhstan,1,0.0,48.019573,0
59,4.56,11.46259259,4.876666667,KEN,30.1,27.00454545,29.86666667,Kenya,0,1.0,-0.023559,1
60,0.81,3.97537037,0.8766666670000001,KWT,100.0,100.0,100.0,Kuwait,1,0.0,29.311659999999996,0
61,2.0,6.277435897,2.23,KGZ,93.3,91.89545455,93.1,Kyrgyzstan,0,1.0,41.20438,0
62,6.34,13.48305556,6.786666667,LAO,70.9,37.13333333,67.56666667,Laos,0,0.0,19.856270000000002,1
63,0.42,1.4928571430000002,0.5033333329999999,LVA,87.8,83.32666667,86.93333333,Latvia,1,1.0,56.879635,0
64,0.78,3.937592593,0.84,LBN,80.7,81.96428571,80.7,Lebanon,0,0.0,33.854721000000005,0
65,8.59,13.00759259,9.246666667000001,LSO,30.3,25.23333333,29.76666667,Lesotho,0,1.0,-29.609988,1
66,7.47,22.71555556,8.016666667,LBR,16.9,13.93888889,16.36666667,Liberia,0,1.0,6.4280550000000005,1
67,0.43,1.5527659569999999,0.49,LTU,92.4,86.78181818,91.6,Lithuania,1,1.0,55.169438,0
68,0.26,1.1322,0.26666666699999997,LUX,97.6,97.69545455,97.6,Luxembourg,1,1.0,49.815273,0
69,4.42,13.32869565,4.7866666669999995,MDG,12.0,10.38636364,11.73333333,Madagascar,0,0.0,-18.766947000000002,1
70,5.54,22.19204082,6.193333332999999,MWI,41.0,34.42272727,40.13333333,Malawi,0,0.0,-13.254307999999998,1
71,0.79,3.003703704,0.76,MYS,96.0,91.24545455,95.96666667,Malaysia,0,1.0,4.210483999999999,1
72,10.6,27.93529412,11.36666667,MLI,24.7,18.30454545,23.76666667,Mali,0,0.0,17.570692,1
73,7.9,14.99907407,8.413333332999999,MRT,40.0,24.79090909,39.13333333,Mauritania,0,0.0,21.00789,1
74,1.31,4.307592593,1.43,MUS,93.1,91.65454545,93.13333333,Mauritius,1,1.0,-20.348404000000002,1
75,1.34,6.371851852000001,1.476666667,MEX,85.2,74.94545455,84.4,Mexico,1,1.0,23.634501,1
76,1.72,8.718611111,1.8866666669999999,MNG,59.7,50.32,58.5,Mongolia,0,1.0,46.862496,0
77,0.35,1.3913333330000002,0.41666666700000005,MNE,95.9,90.96428571,95.1,Montenegro,1,1.0,42.708678000000006,0
78,2.33,11.19555556,2.543333333,MAR,76.7,64.20454545,76.23333333,Morocco,0,0.0,31.791702,0
79,7.24,21.39387755,7.886666667,MOZ,20.5,14.37272727,20.16666667,Mozambique,0,0.0,-18.665695,1
80,4.42,8.043617021000001,4.7133333330000005,NAM,34.4,27.96818182,33.56666667,Namibia,0,0.0,-22.957639999999998,1
81,3.37,16.84759259,3.663333333,NPL,45.8,22.29090909,42.63333333,Nepal,0,1.0,28.394857000000002,0
82,0.39,1.034814815,0.40333333299999996,NLD,97.7,98.02727273,97.76666667,Netherlands,1,1.0,52.132633,0
83,1.72,9.483888889,1.8533333330000001,NIC,67.9,54.89090909,67.46666667,Nicaragua,1,1.0,12.865416,1
84,8.45,26.69,9.36,NER,10.9,6.745454545,10.46666667,Niger,0,0.0,17.607789,1
85,10.02,21.1682,10.76333333,NGA,29.0,33.95454545,29.6,Nigeria,0,1.0,9.081999,1
86,0.26,1.013703704,0.27,NOR,98.1,98.1,98.1,Norway,1,1.0,60.472024,0
