,pedmort_2016,pedmort_53mean,pedmort_3mean,Code,sanit_2015,sanit_21mean,sanit_3mean,maln_12mean,maln_3mean,maln_2016,nat_dis2017,nat_dis_23mean,nat_dis_3mean,homoc_2017,homoc_3mean,homoc_23mean,Country or region,Outcome,
189,5.54,17.3456,5.54,YEM,,39.87727273,53.3,28.39230769,30.16666667,34.4,0.030654979,0.027560157,0.015584344,2.850101443,5.176038223,3.260595483,Yemen,0,
191,6,15.89277778,6.51,ZMB,43.9,41.21818182,43.46666667,50.36153846,45.13333333,44.5,0,0.001967855,0,5.721783528,5.838550108,7.282721641,Zambia,0,
192,5.03,10.21351852,5.713333333,ZWE,36.8,39,37.16666667,41.73846154,46.53333333,46.6,0,0.006365597,0.015023785,8.019027413,8.294199817,9.016830342,Zimbabwe,0,
3,0.33,0.612758621,0.35,AND,100,100,100,,,,0,0,0,0.702320111,0.715372101,0.949330387,Andorra,,
7,0.74,1.804137931,0.8,ATG,,84.59090909,,,,,0.17763742,0.055683056,0,5.343733299,5.353495071,4.975528414,Antigua and Barbuda,,
18,0.72,2.252826087,0.806666667,BHS,92,89.45555556,92,,,,0,0.056450292,0.450762156,28.62287183,29.94561622,21.9075716,Bahamas,,
24,1.24,3.001666667,1.31,BRB,96.2,87.09090909,95.53333333,5.507692308,4.066666667,3.7,0,0.003535072,0,10.87042377,10.94541644,10.95066427,Barbados,,
39,1.74,6.996,1.973333333,CPV,72.2,47.455,70.06666667,15.45384615,13.33333333,12.3,0,0.00458106,0.102355142,12.77735582,13.14703408,12.42237802,Cabo Verde,,
41,0.54,1.974705882,0.56,CUB,93.2,86.91363636,93,2.615384615,2.5,2.5,0.009875459,0.008702003,0.001007992,6.054337728,6.048341839,6.323345483,Cuba,,
45,6.17,11.41973684,6.573333333,DJI,47.4,58.44090909,47.33333333,31.47692308,19.26666667,19.7,0,0.168520851,0,7.695642036,7.918445735,8.316953335,Djibouti,,
46,3.4,3.674259259,3.1,DMA,,81.1,,5.161538462,5.833333333,5.2,0,0.085317928,0.291687176,11.70465874,11.71580771,8.469115531,Dominica,,
52,4.31,12.74575,4.606666667,ERI,15.7,11.69090909,15.43333333,,,,0,0.000296725,0,11.32349416,11.72263847,12.35668274,Eritrea,,
57,2.53,3.959074074,2.463333333,FJI,91.1,74.89090909,91.1,4.461538462,4.4,4.4,0,0.081240636,0.212877476,3.994803998,4.092699418,4.051191612,FIJI,,
59,3.22,5.14030303,3.42,FSM,57.1,35.31818182,57.03333333,,,,0,0.27165578,0.228298099,5.622228884,5.634072241,5.778588394,Micronesia,,
66,8.42,17.65241379,9.086666667,GNB,20.8,14.3,20.46666667,23.76153846,25.2,26,0,0.001238648,0,8.143195316,8.423408757,9.362749579,Guinea-Bissau,,
69,1.67,1.844333333,1.626666667,GRD,98,98,98,,,,0,0.116759258,0,5.294013467,5.193102021,4.406840168,Grenada,,
71,3.13,6.100740741,3.33,GUY,83.7,79.46363636,83.6,9.661538462,8.2,7.5,0,0.026120371,0,17.07405747,17.82144456,15.62750139,Guyana,,
91,5.46,10.34176471,5.776666667,KIR,39.7,33.90909091,39.7,4.223076923,3.233333333,3.1,0,0,0,1.731486461,1.783119575,2.01882494,Kiribati,,
99,1.66,2.802272727,1.73,LCA,90.5,83.45,90,,,,0,0.047982178,0,18.60793112,18.65649257,15.274965,Saint Lucia,,
106,0.33,0.586551724,0.35,MCO,100,100,100,,,,,,,,,,Monaco,,
109,0.79,12.29,0.88,MDV,97.9,81.04090909,98,14.9,11.1,11,0,0.358350347,0,0.874920874,0.868371657,0.954980705,Maldives,,
111,3.4,6.07537037,3.58,MHL,76.9,70.26363636,76.56666667,,,,0,0,0,6.275024352,6.414779655,6.65302323,Marshall Islands,,
130,3.3,4.769310345,3.496666667,NRU,65.6,65.67727273,65.6,,,,,,,,,,Nauru,,
132,1.13,10.00134615,1.123333333,OMN,96.7,89.51818182,96.7,8.892307692,5.166666667,5.4,0,0.036398348,0.006152645,0.532462463,0.55070366,0.626441916,Oman,,
133,3.91,7.148333333,4.196666667,OWID_WRL,,,,13.5,10.76666667,10.8,0.017165103,0.114913785,0.017346984,5.305255472,5.320200321,6.586985082,,,
138,1.53,2.865666667,1.633333333,PLW,100,80.13181818,100,,,,,,,,,,Palau,,
139,5.34,10.6362963,5.71,PNG,18.9,19.37727273,18.9,,,,0,0.216904306,0,10.77534159,11.04595898,12.08319751,Papua New Guinea,,
141,1.9,4.540689655,2.113333333,PRK,81.9,64.7,81.86666667,38.31538462,42.26666667,43.4,0,0.034551595,0.084171967,2.756064775,2.812032519,3.053408513,North Korea,,
144,2.09,4.682564103,2.183333333,PSE,92.3,89.00952381,92.26666667,,,,0,0.0017974,0.009384375,5.354183462,6.252078219,3.516442279,Palestine,,
150,6.32,12.9312963,6.713333333,SDN,,25.21363636,23.56666667,25.4,25.13333333,25.2,0,0.0135869,0.036296252,1.061027992,2.939958621,3.06630448,Sudan,,
153,2.06,6.364259259,2.19,SLB,29.8,26.98333333,29.2,12.16923077,12.96666667,12.3,0,0.101081488,0.467256753,5.226367043,5.321148784,5.811571696,Solomon Islands,,
160,3.24,8.537959184,3.516666667,STP,34.7,24.55,34.5,12.56923077,11.13333333,10.2,0,0,0,5.0935025,5.305432442,5.645118495,Sao Tome and Principe,,
161,1.96,3.807096774,2.09,SUR,79.2,80.51111111,79.23333333,10.36153846,7.833333333,7.6,0,0.0075241,0,9.068329413,9.087938606,9.455494046,Suriname,,
166,1.42,3.703888889,1.446666667,SYC,98.4,98.4,98.4,,,,0,0.054413273,0,6.231653668,6.204921776,7.026514366,Seychelles,,
172,4.76,12.09655172,5.116666667,TLS,40.6,37.85882353,40.1,31.43076923,26.83333333,27.2,0,0.003227969,0,2.721601401,2.689353024,3.196039729,Timor-Leste,,
173,1.6,3.024313725,1.673333333,TON,91,92.89545455,91.13333333,,,,0,0.056882697,0.047868193,2.210399107,2.221279998,3.482080622,Tonga,,
177,2.49,5.108461538,2.656666667,TUV,,78.60454545,83.3,,,,,,,,,,Tuvalu,,
184,1.62,3.674222222,1.743333333,VCT,,71.11111111,,9.538461538,5.933333333,5.7,0,0.126083387,0,20.75643608,20.92725864,16.06823723,Saint Vincent and the Grenadines,,
187,2.69,6.421296296,2.816666667,VUT,57.9,44.555,57.9,6.846153846,6.7,7.1,0,0.46458972,0.367751099,1.669130878,1.686052807,1.803744448,Vanuatu,,
188,1.65,2.496333333,1.73,WSM,91.5,92.18636364,91.53333333,3.738461538,3.1,3.1,0,0.745704367,0,3.081857786,3.112773341,3.596088687,Samoa,,
