,pedmort_2016,pedmort_53mean,pedmort_3mean,Code,sanit_2015,sanit_21mean,sanit_3mean,maln_12mean,maln_3mean,maln_2016,nat_dis2017,nat_dis_23mean,nat_dis_3mean,homoc_2017,homoc_3mean,homoc_23mean,Country or region,Outcome,
73,0.46,1.09030303,0.48,HRV,97,97.24545455,97.1,4.030769231,2.5,2.5,0,0.000808845,0.001917822,1.116576346,1.16910276,2.545186773,Croatia,1,
42,0.27,0.936857143,0.29,CYP,100,100,100,4.646153846,4.466666667,4.6,0,0.003243749,0,1.612950273,1.635085128,2.156269106,Cyprus,1,
43,0.33,0.82969697,0.313333333,CZE,99.1,99.1,99.1,2.5,2.5,2.5,0,0.003079178,0,1.143285391,1.178172635,1.9557889,Czech Republic,1,
47,0.43,1.065555556,0.423333333,DNK,99.6,99.6,99.6,2.5,2.5,2.5,0,0.000948344,0,0.807711076,0.776730455,1.357600745,Denmark,1,
48,2.99,7.773888889,3.156666667,DOM,84,77.74545455,83.26666667,22.19230769,11.9,10.4,0,0.110379231,0.009021413,22.45808761,22.89291517,15.40049324,Dominican Republic,1,
50,1.45,7.783148148,1.513333333,ECU,84.7,69.9,83.76666667,15.12307692,8.133333333,7.8,0,0.089508509,0.286585054,13.87848698,13.75955331,18.80431206,Ecuador,1,
51,2.21,13.54777778,2.376666667,EGY,94.7,84.81363636,94.7,4.930769231,4.466666667,4.8,0,0.014993604,0.004928419,0.667825054,0.694132229,0.582423179,Egypt,0,
155,1.45,8.672037037,1.556666667,SLV,75,62.21818182,73.4,10.86923077,11.36666667,10.3,0,0.253760872,0.01669508,56.69019568,91.79840795,59.61678544,El Salvador,1,
54,0.27,1.308235294,0.31,EST,97.2,97,97.2,3.946153846,2.9,2.8,0,0.001220643,0,4.503307505,4.575063033,13.229554,Estonia,1,
55,5.85,18.42604167,6.43,ETH,28,10.33181818,25.53333333,39.26153846,24.8,21.4,0.021430207,0.010219997,0.007850225,6.777949955,7.21007464,11.24644679,Ethiopia,0,
56,0.23,0.957777778,0.24,FIN,97.6,97.40454545,97.6,2.5,2.5,2.5,0,0.00133957,0.000644931,1.581319771,1.582477644,2.735892371,Finland,1,
58,0.42,1.158888889,0.416666667,FRA,98.7,98.7,98.7,2.5,2.5,2.5,0.000172732,0.007625177,0.00250696,0.829408579,0.863018012,1.293318444,France,1,
60,4.83,8.758333333,5.24,GAB,41.9,39.41666667,41.6,10.86923077,8.966666667,9.4,0,0.000337618,0,4.757253287,4.958642648,5.584905014,Gabon,0,
65,6.36,20.14962963,6.796666667,GMB,58.9,59.595,58.76666667,12.39230769,9.8,9.6,0,0.026941367,0,1.241879902,1.270478115,1.349112173,Gambia,0,
62,1.08,4.100769231,1.21,GEO,86.3,94.59545455,87.5,8.776923077,7.5,7.4,0,0.025309972,0.008062276,3.837343165,3.681417036,4.339146372,Georgia,0,
44,0.37,1.117391304,0.386666667,DEU,99.2,99.2,99.2,2.5,2.5,2.5,0,0.001158918,0.000869321,0.802220806,0.788227072,1.115864759,Germany,,
63,4.93,14.28222222,5.483333333,GHA,14.9,10.47272727,14.63333333,8.907692308,6.333333333,6.1,0.00943912,0.00918995,0.005767596,2.987277524,3.102323771,3.943759653,Ghana,0,
68,0.53,1.791851852,0.476666667,GRC,99,95.68181818,99,2.5,2.5,2.5,0.019967976,0.008167986,0.005267811,1.251152484,1.281327886,1.254057912,Greece,0,
70,2.76,10.68944444,2.96,GTM,63.9,54.85454545,63.4,16.42307692,16.4,15.8,0.021363061,0.068532161,0.012210195,36.59360462,34.33558651,36.86535931,Guatemala,1,
64,8.57,22.53541667,9.176666667,GIN,20.1,13.20454545,19.43333333,20.91538462,17.43333333,19.7,0,0.000806353,0.004719912,6.321096963,6.538992834,6.544016952,Guinea,0,
67,8.96,15.685,9.603333333,GNQ,74.5,78.85,74.63333333,,,,0,0,0,3.345031536,3.275595615,4.899573336,Guinea,,
74,7.17,16.91888889,7.496666667,HTI,27.6,21.66363636,27.06666667,54.03076923,48.63333333,45.8,0.035114969,3.133013235,0.23049244,18.52015384,18.96214069,20.73640363,Haiti,0,
72,1.82,8.676851852,1.96,HND,82.6,63.81818182,81.3,16.60769231,15.5,15.3,0.029411215,1.455593889,0.003684772,43.73212615,80.56630863,52.56482944,Honduras,1,
75,0.45,2.310185185,0.51,HUN,98,98,98,2.5,2.5,2.5,0,0.00322452,0,1.628133258,1.72648449,2.8656042,Hungary,1,
81,0.21,0.92537037,0.226666667,ISL,98.8,98.8,98.8,2.5,2.5,2.5,0.04538042,0.092346775,0,0.728002412,0.724233882,0.941268556,Iceland,1,
77,3.94,14.42888889,4.413333333,IND,39.6,26.20909091,38.5,19.50769231,16,14.8,0.01997276,0.050168145,0.009630737,3.031355894,3.078896305,4.004943496,India,0,
76,2.54,10.52314815,2.726666667,IDN,60.8,47.09545455,59.7,16.03846154,7.266666667,7.7,0.006395959,0.477064557,0.010153032,0.978833715,1.007191701,1.485526265,Indonesia,0,
79,1.49,6.873953488,1.603333333,IRN,90,79.5,89.8,5.869230769,5.233333333,4.9,0.222346498,0.976837712,0.007500537,2.332909504,2.503191537,2.568578634,Iran,0,
80,3.04,7.638518519,3.226666667,IRQ,85.6,76.57142857,85.33333333,27.90769231,27.63333333,27.7,0.006579255,0.002030869,0.013518564,5.665949618,6.276697661,7.575482204,Iraq,0,
78,0.35,1.390185185,0.37,IRL,90.5,89.52727273,90.4,2.5,2.5,2.5,0,0.002042952,0.002257835,0.677645217,0.723936802,0.975770274,Ireland,1,
82,0.36,1.13775,0.383333333,ISR,100,100,100,2.5,2.5,2.5,0,0.00422855,0,2.088023894,2.143726035,2.605408384,Israel,1,
83,0.34,1.741481481,0.35,ITA,99.5,99.5,99.5,2.5,2.5,2.5,0.006754091,0.008159363,0.019730011,0.774146216,0.818580654,1.457133762,Italy,1,
33,8.88,17.96425926,9.48,CIV,22.5,17.88636364,21.96666667,21.07692308,21.26666667,20.7,0.008127745,0.001619106,0.014140237,9.478731356,9.972835521,11.03728003,Ivory Coast,0,
84,1.52,3.866666667,1.62,JAM,81.8,80.73636364,81.76666667,7.692307692,9.2,8.9,0,0.018748693,0,31.92988178,34.62450676,21.08311279,Jamaica,1,
86,0.26,1.103518519,0.283333333,JPN,100,100,100,2.5,2.5,2.5,0.003718213,0.096828044,0.009519993,0.555812985,0.560659474,0.792782421,Japan,1,
85,1.7,5.632777778,1.813333333,JOR,98.6,97.88636364,98.6,8.4,11.86666667,13.5,0,0.006524398,0,2.605812428,2.662347507,3.482888631,Jordan,0,
87,1,5.162790698,1.203333333,KAZ,97.5,96.83636364,97.5,4.630769231,2.5,2.5,0,0.004686555,0.003264892,8.508572523,8.418831756,16.08016522,Kazakhstan,1,
88,4.56,11.46259259,4.876666667,KEN,30.1,27.00454545,29.86666667,27.56153846,21.36666667,24.2,0.009001676,0.016285628,0.016141196,9.047429438,9.450224541,9.90126341,Kenya,0,
94,0.81,3.97537037,0.876666667,KWT,100,100,100,2.5,2.5,2.5,0,0.001942614,0,0.903614511,0.884669546,1.86947347,Kuwait,1,
89,2,6.277435897,2.23,KGZ,93.3,91.89545455,93.1,10.84615385,6.666666667,6.5,0.070803452,0.05493962,0.024607197,4.21075077,4.566416948,9.082823949,Kyrgyzstan,0,
95,6.34,13.48305556,6.786666667,LAO,70.9,37.13333333,67.56666667,27.02307692,17.2,16.6,0,0.016994815,0.003656953,3.220732499,3.392810122,5.648063902,Laos,0,
104,0.42,1.492857143,0.503333333,LVA,87.8,83.32666667,86.93333333,2.984615385,2.5,2.5,0,0.001273597,0,6.865047951,6.983766808,12.74143092,Latvia,1,
96,0.78,3.937592593,0.84,LBN,80.7,81.96428571,80.7,3.784615385,10.23333333,10.9,0,0,0.005279215,4.468474968,5.842581857,6.880522914,Lebanon,0,
101,8.59,13.00759259,9.246666667,LSO,30.3,25.23333333,29.76666667,12.51538462,13.1,12.8,0,0.00883625,0,40.86345239,43.7347775,39.03039414,Lesotho,0,
97,7.47,22.71555556,8.016666667,LBR,16.9,13.93888889,16.36666667,38.48461538,38,38.8,0,0.001560477,0,2.086080128,2.15386622,8.503576672,Liberia,0,
98,1.24,7.962962963,1.33,LBY,96.6,96.51818182,96.6,,,,0,0.002280562,0,2.383870344,8.376532595,2.311589574,Libya,1,
102,0.43,1.552765957,0.49,LTU,92.4,86.78181818,91.6,2.5,2.5,2.5,0,0.001936097,0,6.020497256,6.160951319,9.887916426,Lithuania,1,
103,0.26,1.1322,0.266666667,LUX,97.6,97.69545455,97.6,2.5,2.5,2.5,0,0.002231442,0,1.054969167,1.080549906,1.667024355,Luxembourg,1,
