Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,gdp_mean3,gdp_2017,gdp_mean27
BEL,30647.82135,31093.86107,31441.97729,31018.13959,31920.55613,32613.40784,33068.39538,34212.48829,34813.86215,35971.85042,37188.64369,37361.71844,37856.86471,37990.71331,39201.52716,39802.97227,40532.27304,41623.44174,41619.34008,40355.57312,41085.91894,41248.72534,41046.48119,40928.13661,41360.39558,41708.21234,42083.6443,41717.41741,42658.57617,37587.69706
BEN,1462.677421,1473.862526,1465.570579,1497.74264,1476.539343,1515.06774,1531.642807,1571.169061,1585.785066,1621.900868,1666.467464,1703.01513,1728.696879,1734.6953,1757.902979,1735.97415,1752.95774,1805.622568,1841.188447,1831.881827,1818.778461,1820.894693,1855.953118,1934.649107,2001.077289,1987.14192,2009.618321,1999.279177,2064.236334,1723.311064
BFA,844.3421676,896.5984778,874.8064446,880.8914925,868.4635323,893.2406808,964.5869206,997.3647514,1040.667438,1086.616198,1075.395337,1114.202253,1129.740538,1183.09488,1200.417062,1266.361537,1305.924877,1338.838375,1393.696993,1392.200194,1423.377706,1472.716482,1521.454295,1562.304708,1582.333697,1596.334581,1642.322003,1606.99676,1703.101629,1223.264116
BGD,1287.933664,1301.699659,1341.763341,1374.418906,1397.318619,1437.639731,1470.907452,1504.87169,1550.318035,1590.251667,1641.958768,1692.829119,1725.632005,1775.978154,1838.76198,1929.938743,2031.271293,2148.473993,2252.168733,2339.865769,2442.728888,2570.850145,2706.586745,2835.76662,2973.041565,3132.56754,3319.352805,3141.65397,3523.983851,2040.674267
BGR,9296.952206,8596.513422,8057.403388,8001.709525,8174.895227,8446.248528,8549.747706,8508.297257,8861.855123,8376.100312,8833.446566,9350.786052,10123.37052,10730.01177,11507.0544,12419.92875,13374.91767,14463.18326,15442.15174,14984.60638,15283.29148,15676.15054,15772.09659,15997.3568,16302.32056,17000.17804,17794.54276,17032.34712,18563.30662,12088.87226
BHR,35113.33294,37996.64308,39506.17879,43499.08919,42334.37561,42896.71425,43504.5116,43624.15943,44315.45925,44562.3398,44942.36902,43887.07119,43147.49638,43187.49918,43355.30565,43201.80669,42673.08063,42755.4262,42218.14849,40717.18041,40570.53569,40164.58274,40960.33318,42680.20134,43837.34406,43926.47404,43642.97257,43802.26356,43290.70452,42375.40485
BHS,30991.96834,29152.3357,27508.44509,27081.17517,27455.03355,28221.96697,29036.65599,29307.06201,30362.39197,32142.34177,32990.76145,33271.18322,33505.41317,32391.31379,31990.34987,32401.13972,32565.70703,32409.68704,31080.15801,29263.80325,29221.99118,28941.02823,29395.61972,28871.35826,28456.81653,28407.12582,27613.51794,28159.15343,27717.8473,30062.64993
BLR,8353.906165,8249.611365,7441.588638,6860.582044,6065.001789,5451.833288,5623.240042,6290.914649,6851.859525,7114.684723,7562.883999,7960.986055,8416.042566,9072.066185,10180.00299,11213.2496,12410.32978,13539.60277,14972.26946,15035.69965,16235.17145,17166.69564,17479.9294,17656.11934,17944.20985,17229.55519,16773.19355,17315.65286,17167.96726,11297.11418
BLZ,5165.86722,5601.390136,6172.505029,6450.414883,6330.605036,6208.550173,6099.414071,6089.648567,6079.393137,6371.319544,6960.676754,7089.948371,7247.575992,7719.672688,7875.045458,7873.144593,8022.386276,7902.772467,7951.197453,7809.849846,7876.809586,7857.248066,7974.034168,7856.379109,7999.573692,8127.659294,7919.147241,8015.460076,7824.362459,7159.163975
BOL,3707.24493,3826.432549,3813.526471,3898.646344,4000.832354,4106.168962,4201.558009,4323.761615,4453.294757,4386.792444,4412.255566,4403.716952,4431.306088,4470.309111,4575.172868,4694.916606,4836.432529,4972.49627,5191.131904,5278.038268,5407.47022,5598.508445,5792.933051,6090.69557,6324.827258,6531.519398,6707.956184,6521.43428,6885.828577,4904.420475
BRA,10344.86439,10319.92934,10099.77562,10398.16036,10776.43311,11072.72529,11137.58926,11334.82075,11197.70194,11081.65462,11370.97094,11368.46645,11559.5606,11541.97503,12058.20771,12298.58795,12643.56501,13268.4139,13802.81799,13649.86584,14537.56719,14973.09847,15119.91214,15432.89363,15374.26151,14702.59127,14077.12141,14717.9914,14103.45153,12487.39226
BRB,14434.32932,13823.55535,12811.33465,12920.47211,13364.41105,13583.13204,14074.24177,14680.36416,15166.43871,15172.06715,15467.82067,15049.85619,15125.94201,15414.42461,15582.55022,16151.55849,17008.26325,17244.75307,17189.23225,16433.45664,16417.96245,16472.0832,16463.765,16409.91709,16359.19074,16458.10353,16741.37976,16519.55801,16978.06769,15464.23833
BRN,84672.3915,84879.79213,86423.28356,84290.36664,84607.17457,86116.01773,86411.96446,83138.22352,80813.33691,81476.15172,82049.58086,82596.77622,84125.44059,84970.73553,83942.21941,82967.11276,85424.55836,84503.53876,81905.65813,79512.75501,80552.86447,82434.88309,81993.93208,79070.24593,76089.28657,74600.1643,71788.78339,74159.41142,71809.25058,81898.80317
BTN,2325.241884,2315.740538,2448.530372,2537.303845,2697.03839,2896.949919,3032.228139,3137.937414,3241.365254,3403.551845,3538.773616,3723.981551,4009.251956,4198.587428,4329.159846,4521.985678,4719.665364,5446.362486,5592.162848,5851.678019,6419.675599,6805.878456,7032.74666,7070.792468,7366.424126,7743.337996,8253.293783,7787.685302,8708.597121,4763.151521
BWA,8110.440465,8476.569852,8489.525116,8427.248164,8516.859696,8903.746295,9217.414228,9753.109608,9635.307714,10378.8152,10410.70268,10278.62582,10749.25103,11094.50139,11239.03258,11583.21959,12362.92919,13175.17963,13768.33844,12499.4074,13334.1988,13889.27047,14244.49431,15568.27337,15914.67023,15356.77092,15727.1678,15666.20298,15807.37359,11675.44441
CAF,925.0538529,897.1031407,817.4585969,798.1771936,815.1365735,851.6480711,797.8179864,820.6385925,840.0841927,851.5964989,813.0415579,832.2279245,845.6846565,785.159427,817.1706459,810.0349482,833.7663895,857.0792965,860.6778285,863.692983,881.1445508,904.6104858,938.8237795,593.0559545,597.135169,621.5698429,642.873494,620.5261686,661.2399677,806.2037
CAN,31299.65457,30220.36078,30115.28124,30578.44562,31646.81026,32226.22694,32394.57787,33425.81513,34424.05206,35903.15453,37431.91698,37712.12824,38500.31708,38805.67111,39604.35486,40471.26053,41203.3504,41647.38781,41611.25081,39924.1959,40699.35513,41565.27122,41794.53892,42339.37888,43079.14252,43149.47584,43238.2596,43155.62599,44017.59091,37822.47235
CHE,48181.75578,47147.53929,46610.1898,46129.44181,46344.26035,46256.97059,46301.83304,47271.35553,48540.27293,49128.03357,50775.97634,51117.88744,50815.15316,50459.50291,51505.09237,52770.46893,54531.9937,56269.1565,56755.83813,54805.57929,55866.30507,56183.83259,56149.67086,56535.74005,57218.02793,57264.1574,57421.5485,57301.24461,57410.16586,51991.70535
CHL,8991.846477,9538.654631,10437.98489,10956.11456,11336.78427,12172.25856,12819.8977,13587.50678,13991.42305,13758.91443,14315.42606,14613.80387,14895.54019,15332.29703,16258.38895,17007.57982,17890.59972,18572.56839,19031.61643,18547.46153,19442.05032,20437.70453,21330.23991,21998.30715,22195.27437,22516.60786,22614.39367,22442.09197,22767.03719,16334.22437
CHN,1526.408699,1645.666366,1856.722181,2090.03841,2336.277721,2564.071317,2789.2528,3015.699631,3221.002621,3438.074685,3700.743648,3980.364498,4314.791343,4718.326346,5164.641095,5719.455366,6411.042544,7285.274415,7947.787952,8651.725901,9525.818483,10384.3666,11145.75158,11951.24796,12758.64779,13569.89153,14400.88506,13576.47479,15308.71212,6479.381738
CIV,3193.758531,3083.890945,2970.47508,2864.708804,2793.440697,2898.400745,3027.80288,3049.486821,3111.50077,3081.198619,2947.606573,2889.94571,2788.347363,2701.769483,2686.665668,2682.448861,2670.229356,2662.331114,2672.337082,2698.554349,2690.258002,2511.420195,2712.378026,2879.850217,3054.534874,3241.612056,3424.964021,3240.370317,3601.005901,2913.961527
CMR,3020.491911,2822.219192,2657.992144,2380.037889,2365.552395,2383.748573,2424.402695,2487.663546,2535.558413,2578.98146,2603.771592,2648.546705,2689.891737,2739.685104,2848.654228,2829.19069,2848.724658,2907.826607,2927.844648,2911.296669,2929.829113,2969.047575,3021.20597,3100.17131,3196.361526,3289.064546,3346.817793,3277.414622,3364.926056,2815.339455
COD,1386.830748,1224.064884,1053.550567,876.7283688,812.4086094,792.0938246,762.4551086,702.2305165,675.2589798,631.5219396,573.1708503,545.8516038,545.6887703,558.7015428,577.8607385,594.0770303,605.8631667,623.1286665,640.4783066,637.2751488,660.2109558,682.4321554,706.7979638,741.6184302,785.3473407,812.4033701,805.0642641,800.938325,808.1332134,743.6159666
COG,5140.416146,5122.260941,5114.784771,4928.001902,4530.730304,4582.106819,4645.978468,4487.209498,4523.627153,4283.324088,4480.147677,4524.171563,4604.574502,4515.665444,4539.273904,4742.93598,4875.937296,4637.212916,4730.033797,4918.072012,5186.344788,5213.946921,5271.16806,5317.086292,5538.052941,5542.892982,5250.867608,5443.937844,4881.405744,4861.722518
COL,7533.518385,7562.697695,7799.908974,7844.022737,8160.120713,8442.850813,8478.951104,8634.469088,8553.380914,8073.372693,8308.22295,8327.070759,8415.759119,8625.24657,8963.595329,9263.730173,9760.134926,10306.94749,10547.26039,10599.9626,10900.50528,11496.47771,11840.24043,12296.29554,12715.96739,12985.38313,13135.0099,12945.45347,13254.94922,9743.787572
COM,1599.95155,1469.780491,1549.202531,1550.214085,1427.110431,1437.832802,1380.824339,1398.340257,1379.365152,1370.115389,1480.917674,1478.578216,1476.84428,1472.413878,1465.457301,1471.559414,1474.827429,1451.421611,1422.622349,1415.84569,1412.502687,1414.611723,1422.229487,1437.004907,1432.088748,1413.059277,1411.152339,1418.766788,1413.890036,1447.491574
CPV,1656.907503,1641.516851,1774.627171,1877.285579,2177.550633,2423.288843,2632.979451,2858.333471,3145.619747,3425.087925,3835.238606,3844.508364,3971.288249,4064.843649,4407.340031,4643.455384,4949.2259,5633.93311,5944.038825,5806.646232,5828.241588,5991.77849,5986.939054,5963.907977,5928.199025,5915.122633,6065.27874,5969.533466,6222.554166,4236.276328
CRI,7787.161762,7787.094362,8289.665371,8655.232665,8820.050146,8960.615427,8855.114976,9129.620401,9545.785839,9712.485384,9878.288691,10040.57414,10201.58772,10473.91634,10768.74136,11025.47676,11656.21429,12433.2016,12834.93616,12543.9779,12999.99219,13397.23054,13878.0474,14035.28798,14372.40078,14738.60762,15195.00141,14768.66994,15524.99456,11197.90371
CYP,23300.67477,22873.16733,24366.28993,23951.42271,24845.33797,26465.09469,26393.82716,26689.9653,27745.051,28761.09516,30085.77412,30834.90981,31519.72406,31909.93263,32924.9335,33662.8529,34599.02451,35502.95597,35960.35272,34387.34837,33941.13802,33192.37985,31690.70277,29879.56721,29786.17439,30549.10097,31331.393,30555.55612,32415.13223,29984.47582
CZE,20023.13599,17739.9967,17632.09962,17624.68478,18130.89102,19270.69939,20107.85346,20009.83181,19962.96129,20269.69866,21193.90171,21892.48253,22297.22475,23107.20388,24233.59699,25781.20471,27473.62712,28844.06719,29373.10923,27803.58716,28352.9494,28797.41796,28527.13873,28379.74612,29119.61661,30605.42052,31338.87521,30354.63745,32605.90633,24303.53317
DEU,31287.06981,32646.56184,33022.57555,32492.51853,33175.70858,33653.12964,33830.30566,34405.51921,35081.30421,35755.29931,36764.56293,37325.05255,37262.35129,36977.34601,37418.0925,37703.93294,39143.16624,40473.52745,40989.44311,38784.45248,40428.72103,42692.51976,42822.0994,42914.47611,43560.61924,43937.94713,44431.82284,43976.7964,45229.24529,38007.47752
DMA,6730.022762,6778.965202,6905.278099,6997.687803,7081.637577,7221.985961,7436.010087,7588.680128,8018.926227,8118.417205,8175.435071,8214.820704,8053.001213,8638.77133,8883.297399,8844.293237,9080.261433,9634.767146,10302.8277,10160.15211,10198.27337,10135.27403,9981.101135,9871.672665,10255.21705,9941.894925,10151.34256,10116.15151,9673.366962,8681.192182
DNK,33785.65014,34167.71928,34721.38178,34609.58309,36332.21734,37237.72328,38101.40552,39180.68656,39904.59561,40945.27924,42337.71437,42533.53926,42595.58722,42645.58313,43670.4453,44567.93131,46159.91374,46373.51666,45865.79596,43382.62546,43998.43667,44403.39415,44336.81246,44564.45216,45057.07417,45458.69715,45991.22478,45502.33203,46682.51472,41771.8393
DOM,5477.061465,5421.621565,5914.579688,6230.928137,6276.20558,6515.903229,6787.852738,7269.326961,7633.154969,7959.225317,8200.378427,8272.127247,8511.690706,8270.293527,8356.82634,9011.512148,9697.823176,10271.22129,10455.48321,10412.601,11132.55269,11333.54709,11494.94971,11907.20486,12663.04225,13395.9168,14120.21164,13393.0569,14600.86058,9199.789369
DZA,10236.84066,9869.48837,9815.463823,9400.054424,9126.271624,9295.420114,9509.687657,9461.355117,9796.739936,9968.967712,10211.00186,10382.18684,10826.48765,11459.89356,11797.18485,12322.48426,12348.48121,12570.6547,12660.40324,12647.5403,12870.6027,12990.34502,13161.96167,13253.61548,13483.33786,13724.72385,13921.18002,13709.74724,13913.83936,11465.22192
ECU,7472.025128,7611.733255,7595.025335,7571.244874,7720.724316,7726.192086,7696.583402,7867.057933,7964.486069,7443.335645,7387.615879,7550.257275,7727.717349,7808.192201,8311.701354,8607.765409,8837.380686,8879.636854,9285.864407,9183.552558,9352.344237,9926.903441,10322.1789,10665.46258,10901.41856,10749.12887,10424.26415,10691.60386,10581.93643,8684.704614
EGY,5909.161575,5836.66634,5965.070541,6013.884613,6130.748719,6292.662391,6482.553363,6712.639989,6856.417675,7142.670243,7388.356411,7507.687261,7541.324229,7635.660607,7800.348919,8001.516541,8398.874535,8838.524796,9305.414955,9561.847569,9857.468282,9823.823287,9822.420181,9814.21213,9879.799359,10095.61017,10324.10114,10099.83689,10550.2065,8053.202583
ESP,23758.7281,24301.69219,24407.67554,24030.97766,24486.82293,25051.23368,25614.3895,26448.37866,27473.30696,28589.30859,29967.13145,30950.57323,31395.27602,31815.42134,32261.44449,32901.98773,33700.85211,34329.647,34163.94639,32652.51218,32507.09397,32068.27093,31109.18746,30678.9173,31195.40524,32291.1552,33320.37272,32268.97772,34272.36038,29848.00246
ETH,651.9530906,584.3418123,514.7901555,561.936987,560.005935,574.8370982,626.1078843,626.4422652,587.2724941,599.9521059,618.2422187,650.4534965,641.5270258,609.9424177,673.4260045,732.3804985,789.8703701,856.9948399,924.518762,979.6225122,1073.826295,1162.783317,1230.575484,1325.755137,1424.526984,1533.107632,1608.293476,1521.976031,1729.926639,873.3361764
FIN,28905.57032,27047.8399,26002.07995,25686.51002,26583.53333,27596.41289,28512.4344,30205.02044,31760.2768,33094.83843,34887.1788,35706.15333,36218.24016,36852.44392,38188.25109,39115.76479,40546.08073,42467.261,42574.64114,38867.79945,39848.1345,40683.52758,39912.94136,39428.31206,39017.53721,38941.7636,39659.16604,39206.15562,40585.72103,35317.69408
FJI,5891.290081,5678.875631,5951.983191,5994.266403,6212.418935,6287.005516,6513.375984,6302.722022,6325.183922,6829.074678,6673.847391,6782.284404,6986.677956,7048.447941,7406.361842,7426.778763,7513.217106,7383.264069,7384.086057,7208.005111,7352.08836,7488.829381,7537.926213,7839.874778,8222.253784,8477.64473,8447.264179,8382.387564,8702.975322,7066.715134
FRA,29514.85381,29797.86241,30124.36653,29810.36251,30396.17548,30918.06796,31236.41334,31853.63066,32865.04648,33810.40325,34880.88182,35304.73072,35440.92191,35479.01035,36200.07627,36505.84873,37113.18341,37755.29451,37618.20734,36324.36154,36855.84468,37440.64149,37327.9444,37350.27827,37523.72758,37766.37411,38062.63973,37784.24714,38605.6709,34781.52929
FSM,2721.056867,2850.138504,2887.963474,3047.310307,2970.348196,3136.437906,3016.744082,2829.629773,2920.371435,2972.370821,3119.115444,3181.519429,3206.050234,3273.576579,3178.199972,3255.204632,3266.699213,3221.063128,3167.71663,3220.976301,3297.656934,3412.906554,3343.876355,3208.682874,3130.05445,3271.267021,3253.479755,3218.267075,3299.463856,3130.710026
GAB,19500.92869,20142.69773,19006.29292,19242.55029,19445.00155,19895.83748,20101.51223,20727.8798,20919.51191,18582.04149,17782.69815,17714.37601,17231.37463,17171.07978,16832.48196,16803.54675,15860.37563,16312.57632,15288.14489,14822.39055,15355.78465,15893.54772,16159.72185,16503.06836,16678.63813,16836.78342,16756.69447,16757.37201,16562.41336,17647.49824
GBR,26827.84226,26454.40981,26481.63157,27085.78766,28065.18545,28682.34216,29335.69611,30441.83937,31305.68625,32205.15089,33266.11643,33981.37759,34669.51824,35656.178,36292.18203,37159.79896,37793.6185,38384.25197,37903.38193,36042.42423,36366.98318,36607.98109,36892.85031,37398.79722,38251.79248,38839.16696,39309.32708,38800.09551,39753.24389,33980.52006
GEO,8006.504234,6272.848256,3429.673064,2406.214394,2177.919968,2294.775619,2616.965937,2946.176877,3067.641463,3180.324078,3263.859262,3445.579442,3658.707497,4116.196084,4414.776661,4902.092934,5432.077541,6183.343492,6408.060335,6254.867608,6733.783761,7315.090898,7881.329048,8254.010766,8749.156189,9025.133143,9276.766245,9017.018526,9745.078904,5409.248346
GHA,1919.601511,1965.727718,1985.952862,2025.608251,2036.876143,2066.197615,2107.827044,2143.494406,2191.031352,2232.828444,2259.063142,2291.016296,2333.681984,2392.325987,2461.322274,2539.329254,2632.027828,2675.443544,2845.234552,2907.546933,3059.383626,3404.459566,3632.44568,3807.342653,3868.600894,3926.709045,3982.769467,3926.026469,4227.629844,2711.481354
GIN,1411.948921,1373.106679,1337.349372,1325.499305,1308.515255,1311.962151,1326.448782,1360.804872,1382.975373,1410.730551,1420.633253,1445.915435,1492.932148,1483.564849,1489.423986,1504.031193,1490.720855,1558.541551,1587.41529,1534.97162,1573.544958,1625.560273,1684.153841,1711.708994,1734.736747,1758.315595,1894.441299,1795.831214,1998.92572,1519.245674
GMB,1506.404687,1499.742164,1502.582414,1503.878969,1464.840365,1437.018694,1428.138718,1456.33983,1464.758279,1513.555465,1549.585721,1589.585991,1490.01167,1541.994706,1598.325762,1533.249642,1501.800772,1507.698583,1544.52974,1593.016555,1644.242366,1524.768774,1560.330276,1584.753591,1550.218432,1568.036025,1554.897138,1557.717198,1561.766843,1527.716863
GNB,1573.87189,1614.466679,1592.840762,1587.792282,1601.854753,1637.656386,1793.032334,1876.126545,1326.240169,1316.926217,1363.340995,1366.492649,1325.822659,1305.426386,1312.522899,1338.295521,1338.349987,1350.202744,1360.632824,1372.54239,1400.363293,1475.38909,1412.954212,1421.34057,1398.254806,1446.489402,1498.839838,1447.861349,1548.674703,1462.740821
GNQ,999.5045346,958.3529011,1250.128517,1342.452899,1513.077871,1715.227531,2752.926121,6620.818906,7876.198479,9507.224158,10792.73302,16932.00272,19418.69467,21230.11107,28076.34898,31372.08279,32300.73714,35570.72507,40015.81919,38738.15203,33723.3658,34363.15291,35632.04564,32736.09743,31542.51077,27554.19987,24240.4283,27779.04631,22604.87329,19692.14259
GRC,20686.13676,21072.93327,21058.96205,20600.47676,20907.53901,21247.0409,21759.06123,22622.91379,23374.15277,24000.13589,24839.07591,25731.20927,26642.76896,28119.40736,29469.5266,29559.28139,31136.44696,32073.9604,31881.71235,30430.41942,28726.07928,26141.31959,24364.26906,23746.08457,24081.63054,24170.30184,24211.74089,24154.55776,24574.38248,25258.17748
GRD,7241.559208,7328.878251,7210.877337,6990.019357,7029.738831,7118.56539,7394.600992,7740.442239,8633.436523,9217.768977,9651.488815,9434.79802,9735.111027,10627.81399,10530.10104,11893.82082,11384.65713,12043.5899,12117.64806,11276.48656,11177.99972,11220.82837,11048.50429,11262.6988,12038.47087,12757.96625,13167.05216,12654.49643,13593.87692,10031.02857
GTM,5100.779193,5165.020568,5289.275622,5369.69987,5458.011297,5598.12004,5634.755905,5750.513678,5904.334176,5994.87089,6070.72006,6069.477514,6157.565888,6166.11241,6213.129857,6269.155585,6458.000891,6713.146445,6781.899637,6669.999875,6714.063596,6844.49564,6899.108739,7005.026928,7147.429228,7292.719104,7368.610322,7269.586218,7423.807592,6268.923234
GUY,2843.143276,3009.326729,3228.323017,3468.687223,3740.219537,3911.50775,4216.71299,4487.24271,4425.460336,4573.024541,4521.902893,4630.025552,4681.045528,4634.155484,4788.106597,4698.82104,4948.724479,5308.387985,5424.595121,5621.963301,5847.857255,6130.837616,6420.114762,6696.783715,6906.012309,7076.935019,7266.335285,7083.094204,7435.04709,5033.617826
HKG,26974.16489,28276.77092,29788.63609,31097.0888,32239.85749,32358.04542,32271.38367,33635.9385,31394.06894,31875.11733,34016.64226,33956.26233,34366.2671,35486.59273,38274.26017,40922.88508,43520.46272,45937.39283,46635.08799,45390.45286,48107.70863,50085.95933,50378.33792,51732.44253,52789.42536,53591.83582,54412.92494,53598.06204,56054.91983,40198.96187
HND,3171.671357,3181.948879,3266.199993,3372.661065,3236.494078,3275.710256,3301.644545,3373.927752,3380.351462,3230.298484,3328.510589,3332.932069,3372.357245,3440.154359,3568.148416,3697.169854,3852.213734,4002.205166,4084.298699,3904.459519,3971.182994,4046.076252,4136.822058,4177.580271,4231.325067,4319.470118,4406.773532,4319.189572,4541.795257,3685.870824
IDN,4625.37726,4859.926323,5088.868858,5331.065663,5642.402865,6012.811027,6387.013857,6591.199095,5645.574397,5611.217416,5805.808706,5934.13705,6115.567871,6319.670417,6546.494324,6824.606311,7102.11454,7450.602158,7792.629931,8044.97033,8433.497357,8837.820122,9251.175537,9643.27483,10003.08903,10367.70199,10766.37145,10379.05416,11188.74402,7222.276169
IND,1754.85733,1737.615043,1796.53235,1845.149081,1930.113047,2036.795929,2149.365504,2194.90259,2288.047839,2445.751079,2495.046633,2570.427887,2623.330279,2783.004355,2955.204824,3178.828724,3419.931107,3698.77749,3786.632677,4049.805115,4404.697005,4635.879137,4827.559656,5073.605489,5385.141814,5756.664665,6095.722796,5745.843092,6426.674406,3369.50228
IRL,21453.2404,21741.85066,22315.9676,22802.5875,24020.1935,26199.73073,28023.12117,30598.29853,32854.72152,35935.79134,38849.86076,40455.3012,42289.06502,42903.67322,44940.94648,46613.55709,47879.02361,48937.49415,46062.62864,43487.47903,44030.41415,45147.37624,44973.17526,45470.15851,48898.32866,60818.04624,63227.20798,57647.86096,67335.29341,40295.16188
IRN,11392.56363,12546.8602,12706.50171,12679.66986,12334.55194,12438.9701,12868.45557,12698.01137,12732.91605,12612.48345,13135.47202,13047.44756,13812.83121,14838.30032,15308.45479,15616.25466,16211.47406,17338.12648,17187.28763,17162.05336,17942.83284,18192.1056,16625.91922,16383.26035,16924.20068,16500.90051,18497.67433,17307.59184,19082.6196,14957.79283
IRQ,11521.73054,4033.031107,5198.14861,6575.402561,6624.892218,6560.741918,7061.035635,8296.622773,10845.23691,12368.64283,12176.81465,12105.02473,10959.01575,7134.574829,10710.55506,10895.4632,11703.47332,11575.28738,12217.44846,12299.40046,12717.59753,13261.60145,14625.97401,15223.58271,14838.38295,15072.86867,16242.06902,15384.44021,15663.98607,11018.16448
ISR,20520.4105,20814.95641,21668.21961,21968.47512,22997.03,23870.01265,24489.33596,24759.60197,25208.11143,25462.87485,26824.70512,26206.43637,25725.46735,25459.08374,26156.04064,26761.23046,27662.34576,28744.35656,29082.06885,28787.49869,29743.00587,30558.39128,30582.15371,31250.80201,31702.08354,32024.35277,32688.4081,32138.28147,33132.3203,26958.9207
ITA,31141.90286,31599.12068,31841.10915,31550.27191,32222.36069,33152.04099,33569.06299,34167.09526,34709.27281,35244.75654,36535.81877,37162.42334,37199.35237,37090.40522,37434.10009,37604.36062,38243.80633,38612.01165,37954.16066,35710.42,36201.16157,36347.34248,35227.62483,34219.83278,33945.84388,34302.0374,34655.26276,34301.04801,35220.08379,35102.25152
JAM,7285.747238,7577.463513,7657.727888,8300.016978,8333.58154,8447.428582,8356.956898,8182.335855,7916.217445,7927.765154,7931.258686,7977.435634,8081.118325,8324.693746,8384.61017,8410.557452,8605.460069,8680.920903,8565.228626,8153.001926,7996.019488,8099.155573,8016.04319,8025.471361,8051.244028,8095.261867,8179.62034,8108.708745,8193.57065,8134.139754
