Code,Year,gdp_2017,gdp_mean3,gdp_mean5
MNG,2017,11840.84612,11537.93155,4725.884796
MNE,2017,16409.2877,15812.01127,11078.55486
MAR,2017,7485.012951,7355.951891,15141.75859
MOZ,2017,1136.102564,1127.224224,7155.668414
MMR,2017,5591.59688,5317.834353,1081.701809
NAM,2017,9541.808292,9780.844344,4888.352447
NRU,2017,12895.63451,12705.48703,9530.458279
NPL,2017,2442.803942,2351.577121,11443.56459
NLD,2017,48472.54454,47412.18058,2264.703298
NZL,2017,36085.84278,35724.07941,46417.9703
NIC,2017,5321.443516,5136.315036,34796.48996
NER,2017,926.000142,917.1055096,4877.626047
NGA,2017,5338.454127,5481.276122,898.7864024
NOR,2017,64800.05733,64322.62947,5489.039829
OMN,2017,37960.70919,39239.34948,63714.48403
PAK,2017,5034.707756,4862.525451,40506.3846
PLW,2017,13240.40481,13721.88946,4665.890942
PSE,2017,4449.898325,4633.804446,13259.42564
PAN,2017,22267.03682,21508.79557,4593.509552
PNG,2017,3823.1938,3821.901477,20393.9397
PRY,2017,8827.010058,8779.225483,3614.594758
PER,2017,12236.70615,12029.6362,8396.474089
PHL,2017,7599.18806,7235.65891,11668.48631
POL,2017,27216.44488,26184.08571,6764.737189
PRT,2017,27936.89609,27222.96142,24945.48972
QAT,2017,116935.6004,59553.47261,26525.50771
ROU,2017,23313.19934,118297.3878,47210.35616
RUS,2017,24765.95363,21846.63592,120615.2055
RWA,2017,1854.210791,24566.37582,20423.05418
KNA,2017,24654.3854,1791.836323,24948.53743
LCA,2017,12951.83888,24429.28752,1679.959342
VCT,2017,10727.14607,12715.04572,23414.86703
WSM,2017,6021.557424,10592.82093,12493.52841
SMR,2017,56861.46973,5831.543531,10378.4962
STP,2017,3052.713743,56578.10042,5689.978944
SAU,2017,49045.41126,3001.331053,57397.97441
SEN,2017,2470.579582,50064.0458,2901.76402
SRB,2017,14048.88064,2381.294795,49891.13653
SYC,2017,26382.28735,13682.52388,2290.929874
SLE,2017,1390.300267,25623.18578,13392.35764
SGP,2017,85535.3832,1356.145855,24541.51573
SVK,2017,30155.15212,83299.32777,1469.733084
SVN,2017,31400.83951,29225.47003,80997.28343
SLB,2017,2205.923205,30122.87274,27960.14737
ZAF,2017,12294.87614,2178.125651,29064.31276
KOR,2017,35938.37422,12319.74417,2155.068269
ESP,2017,34272.36038,35045.48007,12317.32191
LKA,2017,11669.07668,9067.998837,33814.62372
SDN,2017,4466.506755,33294.62943,5438.42895
SUR,2017,13767.11851,11398.08391,32144.56638
SWZ,2017,7738.974566,4381.077194,10843.89607
SWE,2017,46949.28309,14137.30123,4267.661778
CHE,2017,57410.16586,7740.370396,14711.69269
TJK,2017,2896.912851,46398.91275,7747.726997
TZA,2017,2683.304024,57365.29059,45024.73099
THA,2017,16277.67115,2766.695941,56999.8851
TLS,2017,6570.101619,2585.950266,2601.924091
TGO,2017,1429.813427,15745.23533,2450.703653
TON,2017,5425.620625,7088.647099,15218.78012
TTO,2017,28763.07076,1389.787844,7696.404182
TUN,2017,10849.29739,5314.243426,1336.538953
TUR,2017,25129.34065,29942.84456,5175.60061
TKM,2017,16389.02331,10792.23272,30611.76498
TUV,2017,3575.103821,24091.43541,10687.84547
UGA,2017,1697.706511,15676.57319,22768.16197
UKR,2017,7894.392926,3495.601567,14472.24893
ARE,2017,67293.48276,1683.579717,3303.549975
GBR,2017,39753.24389,7675.796179,1651.210824
USA,2017,54225.44612,67189.61183,7988.658356
URY,2017,20551.40942,39300.57931,64436.58185
UZB,2017,6253.10386,53543.48048,38407.52966
VUT,2017,2921.908676,20158.82919,52346.07673
VNM,2017,6171.884192,5997.422729,19675.33463
OWID_WRL,2017,15469.20724,2861.724557,5532.725727
ZMB,2017,3689.250826,5854.790317,2877.811514
ZWE,2017,1899.774977,15109.20409,9442.174585
,,,2043.238884,5445.795864
,,,3656.201598,14627.59322
,,,#NAME?,2927.119897
,,,,3614.533759
,,,,1902.992233
