,Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Unsafe water source (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),Poor sanitation (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths),No access to handwashing facility (deaths)
ATG,1.76430248,1.733891356,1.746717736,1.8093040219999998,1.792586108,1.786237835,1.7452906719999999,1.6725412,1.558718656,1.430818991,1.307606001,1.1843677129999999,1.1229136690000001,1.0752212859999999,1.0389243479999999,1.017329966,0.977271188,0.9475505129999999,0.9296023929999999,0.923505806,0.949586875,0.967141142,0.980354223,0.9985521209999999,1.04626018,1.0211263609999999,1.029035715,1.040682425,1.103325817,1.06450738,1.047627302,1.05924201,1.024359053,0.997906627,0.949735253,0.8824914779999999,0.795538565,0.704630819,0.62133199,0.545016325,0.501784943,0.46592766700000005,0.435988517,0.412943565,0.383393339,0.359657679,0.341964967,0.33178575,0.335461912,0.33629705200000004,0.335454733,0.335518732,0.345839994,0.332723869,0.329857393,0.328516537,1.622486347,1.614647785,1.6373641030000001,1.6829802880000002,1.698077015,1.698593447,1.713536439,1.728745112,1.6966398740000002,1.696758438,1.6852481730000002,1.6893715009999999,1.66490553,1.653364113,1.628561095,1.6302701830000002,1.611873939,1.584063575,1.585643104,1.583997495,1.609294431,1.6354230019999998,1.665625175,1.707864294,1.758876805,1.77527317,1.7689200390000002,1.7781305509999998
AUS,5.9255900939999995,6.824443795,7.841897862000001,8.892611535,9.878936634,10.58737747,10.88948534,10.06609037,9.573790033,9.60543941,9.446985478,9.724284462,10.89169222,12.01506524,13.53008095,14.52457942,16.93208211,18.94646732,19.88704484,21.28197311,22.45440299,25.04378179,26.01701951,25.70580935,26.41892209,26.66214439,26.60401078,26.69515862,2.792198393,3.08196682,3.4398064789999996,3.783533555,4.087137566,4.257783589,4.261019179,3.840419034,3.570347218,3.502908777,3.3795786139999997,3.442917303,3.547589805,3.7381750719999998,4.034857154,4.179478436,4.653089977,5.105877892,5.220609286,5.423284312000001,5.5640391629999995,5.93182343,5.875445001,5.692665511,5.769045294,5.768810706,5.701294805,5.6721849639999995,23.45459888,23.83534184,25.11801882,25.69992061,27.62587489,28.95877126,31.51120263,35.55319492,34.72010403,35.86143527,38.64404704,39.8535847,42.09927956,43.11995649,43.25868217,42.73425802,43.52840754,44.54703845,44.11932149,44.65744038,46.44768012,48.97640042,50.13538725,50.77389115,52.68469975,55.21632688,56.38875753,57.88102161
AUT,0.587016686,0.583544278,0.48102702299999994,0.43174796200000004,0.39457899799999996,0.349213685,0.322049336,0.298462897,0.28676041,0.268940636,0.29361450899999997,0.327191885,0.453838012,0.604755542,0.7348321859999999,0.919446711,1.127245572,1.38071329,1.5506618540000001,1.707698216,1.807554374,1.944636231,2.1430303569999998,2.269805345,2.372300397,2.504940496,2.630016512,2.407016198,0.474697474,0.485799359,0.447293613,0.453145435,0.472746347,0.48337685799999996,0.518701573,0.560432935,0.626558055,0.678610307,0.84419542,1.059435796,1.4389001119999998,1.892268805,2.2676101330000002,2.796625974,3.378429248,4.077634883,4.51686131,4.924250141,5.148447877,5.4571300560000005,5.94409884,6.182222865,6.365067778999999,6.655594382,6.928477808999999,6.282777685,8.50418899,8.210693651,7.933914091,7.508457677000001,7.095845009,6.807701721,6.8386811729999994,6.708532808999999,6.767318369,6.961222735,6.969560282000001,6.790215971,6.889543572999999,7.266525451000001,7.2309354820000005,7.491887367,7.439763267999999,7.62199526,7.58845821,7.683606200000001,7.688759097999999,7.78253671,7.912378491,7.997491734,8.147749099999999,8.469088836000001,8.74901663,8.644877369
AZE,925.8642872000001,847.3951332,787.218452,740.3146303999999,700.0148887999999,672.4808106,629.3509851,588.7852057,551.4739332,490.55436710000004,426.0976126,373.3934186,330.2772247,295.107961,273.09567250000003,242.13712379999998,203.14527859999998,168.50479119999997,153.3899874,141.1897561,130.2660139,120.92120120000001,113.1793402,108.03785890000002,102.3613042,97.12325445,92.51364399,89.05113819,814.0436274,743.8976157999999,690.4028002,648.0925962,611.7476631,586.3277112000001,548.1061672000001,512.0541567,479.1691154,425.921983,369.9162676,324.061219,286.9843981,256.8689068,238.33328390000003,212.0360018,178.5482196,150.5103312,139.973795,131.8929828,124.83496129999999,116.82942140000002,109.88389950000001,105.2613235,99.98613201,94.88280717,90.24744244,86.75303303,556.724606,523.4970401,497.24564239999995,473.5809262,455.122391,439.31688669999994,420.92564289999996,402.1982021,387.5418466,361.94350110000005,329.9472421,293.4948963,267.4684513,246.4836358,229.4097497,206.2773886,177.7772602,148.6311425,129.3247369,114.06751240000001,102.04611440000001,93.74757599,87.31135135,81.87518139,77.42992933,73.7051397,70.3997031,67.60196524
BDI,6140.374271,6114.208193,6315.073577,5900.111588000001,6080.079376,6045.573407,6035.972634000001,6109.357825,6042.002733,5987.033043,5826.031266,5465.523978,5325.606091,5157.147775,5084.880818,5059.381759000001,4932.38951,4784.360309000001,4637.642299,4579.005954,4596.0221409999995,4585.834346,4597.408359,4635.515835,4632.880929999999,4589.504486,4492.916338,4585.4321469999995,4748.801037,4726.79005,4881.976600999999,4560.6949700000005,4698.891632,4672.427931,4664.585807,4720.941519,4668.202768,4624.834247,4499.036213,4220.029042,4111.269772,3980.1565219999998,3922.9677490000004,3902.6928359999997,3802.1975520000005,3686.625897,3571.2123420000003,3522.939206,3532.197815,3521.5153119999995,3526.9340399999996,3556.161122,3554.414975,3520.638325,3446.3319420000003,3517.168487,4526.053397,4513.748058,4612.515634,4392.290407,4505.400835,4463.738588,4451.794551,4471.964771,4404.163024,4339.892092,4225.091198,3999.188233,3929.8925560000002,3839.6423240000004,3807.7698880000003,3808.8833560000003,3737.084187,3645.516601,3550.859908,3511.053456,3526.1603950000003,3533.476029,3539.2730119999997,3565.9693979999997,3563.435161,3536.2170130000004,3468.3926490000003,3533.181458
BEL,5.428403389,5.537521673,5.577656437000001,5.561061256,5.420574736,5.665131263999999,5.6257493389999995,5.811401206,6.17880855,6.48177891,7.26359941,8.137456245,9.768713784,11.57084132,13.283210999999998,14.88275729,16.03574087,17.33747489,18.69562488,20.08671209,20.4048266,20.63860832,20.46807843,21.54467959,21.07666123,22.14032914,21.21513132,21.01579493,4.54148896,4.455155758,4.509884647,4.536616743,4.483980413,4.772838087,4.838141885,5.09717967,5.525993972999999,5.912452664,6.727540117999999,7.617846866,8.25507657,9.625053473,10.86615728,11.9729022,12.70520214,13.53942761,14.35480262,15.146154899999999,15.01908228,14.78876943,14.30573959,14.63199045,13.99368394,14.49788691,13.78571801,13.57291039,20.80504369,20.81866113,21.67333471,22.24841523,22.78003399,24.07896819,25.66910454,27.672257399999996,30.290327899999998,32.40977546,35.17259987,36.67261525,39.12499895,41.17023987,41.48043974,42.88602512,43.0637598,44.30329559,45.62328772,46.71939056,46.67383657,47.41189778,48.26317031,49.69980626,48.69614105,51.10911675,50.56583848,51.11025298
BEN,5680.497044,5907.23435,5731.8821179999995,5735.794089999999,5797.92345,5842.1529439999995,5951.715356000001,5729.556349,5666.993303,5582.373286999999,5467.55677,5523.682486,5683.616999999999,5715.1937530000005,5834.433545,5896.6146770000005,6017.476970000001,6184.091388,6364.896087,6690.957072,7114.180855,6504.537431000001,6236.062478,6006.947961999999,5703.929501,5529.3180520000005,5305.598752,5266.971855,4447.542993999999,4627.749129,4492.7347039999995,4498.555979,4550.145323,4587.9322219999995,4677.225128,4502.972942,4455.458333,4391.367902,4303.695647,4350.873132,4476.019955,4499.567579,4594.182446,4643.7188049999995,4741.240504,4866.030585,5003.813472999999,5255.593145000001,5583.4475219999995,5100.9116030000005,4886.921412,4704.657768,4465.256467,4324.726047,4147.390624000001,4114.532299,4275.114111,4390.542087,4292.564832,4283.896054,4312.293646,4328.961466,4382.5755420000005,4259.639432,4223.596514,4170.542725,4103.927133,4130.197478,4233.822921,4232.964988000001,4286.728623,4287.7261100000005,4340.890678,4419.598318,4506.0312189999995,4683.720619,4915.610925999999,4607.706953,4508.189165999999,4391.073003,4207.278914,4101.584868999999,3953.042246,3904.8674170000004
BFA,16304.767580000002,16582.526980000002,16820.18675,17184.480509999998,17598.35804,18097.74856,17754.92156,17379.01709,17004.27824,16719.823640000002,16684.01501,16430.50682,16438.1585,15785.41129,15464.323030000001,15360.2171,13944.812230000001,12515.29912,11807.89638,11173.459640000001,10644.38365,10373.070759999999,10228.10922,10060.56532,9955.78193,10045.910679999999,10324.92002,10444.27159,12738.42035,12956.620570000001,13144.31327,13428.39364,13752.01974,14144.2264,13875.1827,13577.653890000001,13280.15558,13053.92353,13020.98231,12818.06302,12816.825420000001,12303.42492,12049.76863,11965.32733,10858.826659999999,9741.202193000001,9187.411776,8692.576470999998,8280.656643,8069.353748,7956.970389,7828.157422,7748.761483,7815.602208,8030.344537999999,8121.420773999999,11089.67489,11216.8049,11331.43291,11520.748109999999,11743.73243,12002.96086,11824.427020000001,11646.35105,11462.32123,11340.39478,11407.66984,11261.353229999999,11287.51585,10898.79431,10684.58383,10577.49898,9825.846534,9031.520566,8641.070502,8289.325578,8052.5612790000005,7955.41337,7947.983492,7865.9902090000005,7853.330975,7947.201335,8139.928634000001,8171.12925
BGD,123730.0153,115492.3033,106896.0403,99853.20646,91665.33706,83895.85809,74965.62995,67460.83038,60272.119479999994,54112.30579,49136.61498,44362.772410000005,41059.88311,37906.99765,34607.74974,31713.324160000004,29158.8091,27274.83331,25828.93985,24563.8815,23708.41129,22764.68017,21946.47251,22030.211030000002,22835.88016,23194.148540000002,23757.989569999998,25397.49827,94949.89201,88457.0487,81641.5058,76021.94716,69590.86377000001,63505.642929999995,56552.877629999995,50718.961989999996,45152.73791,40397.21034,36572.81885,32930.4643,30339.5174,27877.65502,25345.07897,23117.154590000002,21145.645940000002,19680.954530000003,18543.588490000002,17554.72281,16893.24439,16172.82692,15567.11433,15601.908019999999,16135.234580000002,16337.98677,16667.779919999997,17744.9926,76279.11412,71967.39855,67152.8801,63096.464470000006,58585.360089999995,54387.468570000005,49711.21427,45754.1268,41867.76892,38530.4846,35817.95371,33155.34345,31096.42995,28964.567619999998,26753.93621,24673.97457,22701.01408,21272.14675,19946.821180000003,18713.575,17828.54544,16952.45431,16092.57669,15715.419259999999,15762.53192,15569.616069999998,15566.035269999998,16129.92113
BGR,20.33574568,20.04626141,19.34630976,17.64794722,17.88392916,15.11076703,13.07758088,13.059753599999999,11.96482458,11.02002699,11.38640001,9.860404393,10.33352545,10.06665968,10.3773727,11.247015199999998,11.67318602,11.64592558,11.59976995,11.02389366,10.54135656,10.20603017,10.134444300000002,10.29096887,10.49348649,9.474302337000001,8.953436102000001,8.611547095,2.307471269,2.10012617,1.903849488,1.63322946,1.555878789,1.248794588,1.082789932,1.115437308,1.0897738129999999,1.065719512,1.132015145,0.993513977,1.054261518,1.033115569,1.057189937,1.133675002,1.174191239,1.170583503,1.163156506,1.0921234309999999,1.031987623,0.971056873,0.936075963,0.9261666040000001,0.9327646690000001,0.826049633,0.7638232159999999,0.7199610009999999,33.26835323,30.31520667,28.62956668,25.81115749,25.16406401,23.41066723,22.49939205,21.96828052,19.7364337,18.08979978,16.72368195,14.74565765,13.65617876,12.92541108,12.60902529,12.84840267,12.77944746,12.64212003,12.35196803,11.93729157,11.44439173,11.14419697,10.867990400000002,10.53452916,10.76153467,10.40884404,10.27470999,10.22545384
