latitude,Country or region,within_tropics
18.335765,U.S. Virgin Islands,1
14.058324,Vietnam,1
-15.376706,Vanuatu,1
-13.768752,Wallis and Futuna,1
-13.759029,Samoa,1
42.602636,Kosovo,0
15.552727,Yemen,1
-12.8275,Mayotte,1
-30.559482,South Africa,1
-13.133897,Zambia,1
-19.015438,Zimbabwe,1
