Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,pop_2017,pop_mean56,pop_mean3
AUS,1.364565299,1.398279161,1.425354386,1.453601135,1.482368561,1.516603101,1.535868164,1.563203728,1.596266743,1.628028065,1.684000885,1.715241529,1.741665907,1.786313995,1.808442784,1.826666493,1.84736342,1.868971532,1.889277951,1.912448095,1.943037892,1.975710399,2.000572745,2.023352381,2.051208622,2.085104721,2.117061297,2.151985733,2.188719524,2.22135298,2.249847051,2.277312784,2.299701912,2.32417375,2.352420499,2.383530974,2.41034586,2.435598714,2.463585124,2.493133567,2.526977598,2.558009971,2.589771292,2.619970582,2.654777866,2.694232196,2.711115161,2.765994559,2.823594496,2.867858584,2.90798641,2.960373196,3.012886896,3.059518373,3.104641058,3.151505278,3.202027127,2.205325054,3.10522157
AUT,85.81132235,86.3388714,86.8952652,87.47639864,88.04660935,88.66633567,89.33153306,89.79659724,90.10722935,90.42245096,90.8268588,91.35627271,91.86382901,92.02031969,91.77649552,91.61449504,91.64967304,91.57550254,91.41953257,91.41962945,91.6530637,91.71881812,91.5707193,91.56495519,91.60795592,91.66619036,91.72421894,91.85416566,92.26891499,92.97469121,93.90761686,94.94682732,95.73302252,96.1021797,96.24943085,96.37947445,96.4887503,96.59468394,96.78280455,97.01581497,97.38790264,97.86821264,98.34612497,98.95817389,99.63464519,100.1288569,100.4563806,100.7713435,101.0356633,101.2874254,101.6417316,102.1148703,102.7471253,103.5633217,104.7307902,105.8694909,106.7485671,94.74579205,104.7212009
AZE,48.4314503,50.1270774,51.85392408,53.55503082,55.18836295,56.73750556,58.20769795,59.60603002,60.94824375,62.24719709,63.50303424,64.71354411,65.88898903,67.04251535,68.18483002,69.32146076,70.45596453,71.59509475,72.74529243,73.9120372,75.09667496,76.30121249,77.53314827,78.80102623,80.10929257,81.45731041,82.83764135,84.23802829,85.64224858,86.02809522,87.37397407,88.70783614,90.06573176,91.29144285,92.34891909,93.28622757,94.19048992,95.23179127,96.52076658,97.43477998,98.19379207,98.9124646,99.62372356,100.4753726,101.5225018,102.6725317,103.8533687,106.0597625,108.2912905,109.5423442,110.9763362,112.4607902,113.9234808,115.3488139,116.7310768,118.0432842,119.3088685,84.46845128,116.707725
BDI,110.5788941,112.6818146,114.8725078,117.2452882,119.8549844,122.7695872,125.9354751,129.1367991,132.077609,134.5640966,136.5027648,138.0080607,139.3492991,140.9106308,142.9709502,145.6253505,148.8003894,152.405296,156.2815421,160.3121885,164.454634,168.7455607,173.2370717,178.0098131,183.1022586,188.5344626,194.2264798,199.9982866,205.6084112,210.8806464,215.811838,220.449338,224.7429128,228.6451324,232.1673676,235.2457944,238.0100078,240.9015576,244.5070093,249.248676,255.2892913,262.5221573,270.759852,279.6904595,289.0688863,298.8838785,309.1734034,319.7922118,330.569743,341.3913551,352.1615265,362.9170561,373.8390187,385.1943146,397.1678349,409.8176402,423.0625,219.977402,397.3932632
BEN,21.86827776,22.19666548,22.55107308,22.93335403,23.34476765,23.78644023,24.25777758,24.75691735,25.28078219,25.82777581,26.39741043,26.99154842,27.61329372,28.26722242,28.95676658,29.68404576,30.44908656,31.25166726,32.09051082,32.96528024,33.87839659,34.83251153,35.82785562,36.86430472,37.94342852,39.06089039,40.22049486,41.44068819,42.74579638,44.15125931,45.66778113,47.28452465,48.9691646,50.67594892,52.37280951,54.04628414,55.70804363,57.38085314,59.09984037,60.88995211,62.75924973,64.69842143,66.69523767,68.73008159,70.78950869,72.87066336,74.98040972,77.12766939,79.3251685,81.58264455,83.90211068,86.2820149,88.72340369,91.22660518,93.79169918,96.41981199,99.11042923,49.2902916,93.81270545
BFA,17.88954678,18.12984649,18.37653874,18.63629386,18.91399854,19.21185307,19.52857822,19.86126096,20.20531433,20.55774854,20.9187902,21.29083699,21.67574196,22.07617325,22.49468202,22.93142178,23.38792032,23.86995249,24.3847076,24.93729167,25.53055556,26.16321272,26.83079313,27.5264693,28.24527412,28.98645468,29.7517288,30.54205044,31.35900219,32.20407164,33.0777924,33.98067617,34.91402047,35.87934211,36.87820906,37.91207968,38.98225877,40.0903655,41.23794225,42.4266886,43.65711623,44.93092105,46.25226974,47.62634868,49.0567617,50.54523757,52.09072003,53.69051901,55.34027412,57.03661184,58.77888889,60.56730994,62.40030336,64.27623173,66.19380117,68.1521674,70.15125,35.65867049,66.2074001
BGD,380.9848813,392.0268649,403.5677729,415.8339095,428.9316893,443.0589998,458.0215795,473.0696243,487.1890144,499.7139894,510.292264,519.3014519,527.7036568,536.8704002,547.7907582,560.7984635,575.600338,591.7941615,608.7176462,625.880464,643.1686871,660.7308212,678.6374894,697.0297457,715.9857494,735.5184067,755.5028732,775.7188369,795.8764078,815.7689329,835.272582,854.4360298,873.435807,892.5425751,911.9372436,931.625144,951.483752,971.4063532,991.2398479,1010.841538,1030.246293,1049.402067,1067.980341,1085.561105,1101.875248,1116.755043,1130.361765,1143.165199,1155.832435,1168.849213,1182.391611,1196.335968,1210.503895,1224.593063,1238.387386,1251.836521,1265.036114,808.849474,1238.272323
BGR,71.79895146,72.43013649,73.01947935,73.61782518,74.15861882,74.64572901,75.11729187,75.65400886,76.23765706,76.73844346,77.16166501,77.52146796,77.92612311,78.44838651,78.82800325,79.17019796,79.58223809,79.67126458,79.77890265,80.10065082,80.36804664,80.60613758,80.80753864,80.99682726,80.9956341,80.9741571,81.09336527,81.18454307,80.24018801,78.80583024,78.0291693,77.19573353,76.58241887,76.32279671,75.98361204,75.59275061,75.13394197,74.63424026,74.2169755,73.85132423,72.3957516,72.03272978,71.48411327,70.95310776,70.4986377,69.97166529,69.47185342,68.98592211,68.57445652,68.12453021,67.68909359,67.2981577,66.92257738,66.54327561,66.120035,65.65790346,65.18046242,74.79169378,66.10707136
BHR,243.3246377,250.9333333,258.173913,265.0536232,271.6391304,277.942029,284.1492754,290.8014493,298.6130435,308.1231884,319.2927536,332.1086957,347.1405797,365.0884058,386.2942029,411.2347826,439.384058,468.8014493,496.8086957,521.5768116,542.2028986,559.3478261,574.5710145,590.184058,607.8695652,628.2347826,650.6855072,674.2057971,697.2318841,718.7405797,738.7898551,736.7422535,755.2295775,774.0676056,793.9422535,815.0253521,837.9295775,864.3690141,896.5422535,936.0760563,982.4633803,1035.419718,1081.543056,1136.778082,1201.578378,1295.154054,1381.188,1466.565789,1559.248684,1628.427822,1666.58279,1688.593506,1708.325974,1733.329442,1779.319066,1848.470817,1935.906615,813.2871394,1787.039775
BHS,11.4993007,12.0962038,12.72057942,13.35644356,13.99140859,14.62197802,15.24565435,15.84685315,16.40839161,16.91848152,17.36893107,17.76613387,18.13066933,18.49140859,18.86933067,19.27092907,19.69140859,20.13116883,20.58261738,21.04505495,21.51808192,22.00549451,22.4962038,22.97852148,23.44525475,23.88921079,24.31498501,24.73316683,25.15974026,25.60799201,26.08551449,26.58681319,27.08941059,27.56193806,27.98701299,28.35064935,28.66833167,28.97702298,29.32787213,29.75924076,30.28321678,30.88481518,31.54305694,32.22037962,32.89200799,33.54945055,34.1986014,34.83276723,35.45014985,36.04715285,36.62017982,37.16673327,37.68631369,38.17872128,38.64515485,39.08411588,39.4966034,25.42762851,38.63599734
BIH,64.48239216,65.74952941,67.0112549,68.21558824,69.32627451,70.32615686,71.22880392,72.06768627,72.8914902,73.73582353,74.61343137,75.51276471,76.41676471,77.2984902,78.13927451,78.92676471,79.67041176,80.39901961,81.15331373,81.95794118,82.79433333,83.63352941,84.47266667,85.3087451,86.12019608,86.97066667,87.81409804,88.3932549,88.3657451,87.51807843,85.71770588,82.79597656,79.84373047,77.1253125,75.0725,73.83550781,73.28966797,73.25166016,73.42027344,73.56847656,73.65789063,73.74623047,73.81341797,73.85326172,73.85800781,73.81773438,73.7109375,73.50779297,73.17501953,72.69695313,72.04814453,71.25390625,70.41013672,69.64847656,69.06173828,68.6878125,68.49642578,76.03296822,69.13267578
BLR,40.77704595,41.17495563,41.59550385,42.02437389,42.44724906,42.87367383,43.31319266,43.75148886,44.17424571,44.56714652,44.93973575,45.30155788,45.63829619,45.935634,46.17925458,46.39617432,46.65253402,46.95819365,47.2490633,47.53993295,47.87024256,48.19562217,48.52593177,48.85624137,49.17669099,49.51193059,49.84717018,49.99014001,50.13803983,50.23170972,50.25635969,50.36481956,50.47820943,50.4190495,50.25635969,50.08873989,49.87675015,49.64011043,49.43175902,49.19941826,48.94768783,48.6394912,48.30029581,47.97665796,47.64539269,47.33821587,47.1215032,46.95901922,46.87291687,46.77468211,46.6865704,46.6438076,46.6512099,46.69316939,46.76761126,46.82634666,46.85759696,47.11485478,46.76237577
BLZ,4.151819377,4.269355546,4.391231916,4.518588338,4.652301622,4.793818501,4.940464708,5.088163086,5.228452433,5.356510302,5.470977641,5.574309513,5.668303376,5.756554143,5.842174485,5.924901359,6.005655414,6.092284086,6.194870671,6.31981587,6.469355546,6.641823762,6.83130206,7.029679965,7.23020605,7.433932486,7.642262166,7.848662867,8.043358176,8.222358615,8.379044279,8.518939062,8.66356861,8.841473038,9.073345024,9.367645769,9.715300307,10.09574748,10.47900044,10.84239369,11.17860587,11.49522139,11.79877247,12.10385796,12.4189829,12.74647085,13.08228847,13.42240246,13.76277948,14.09943007,14.43191583,14.76111355,15.08903989,15.41841298,15.75133713,16.0874178,16.42617273,8.906739888,15.7523893
BMU,910,932,954,978,1002,1020,1040,1060,1080,1100,1092,1084,1076,1068,1060,1064,1068,1072,1076,1093.4,1101,1108.98,1118.6,1128.46,1137.96,1147.64,1156.98,1166.94,1176.82,1186.52,1180.42,1171.9,1178.2,1186.4,1194.92,1202.58,1209.94,1218.86,1225.7,1236.66,1250.08,1258.24,1266.5,1274.8,1283.08,1290.46,1297.76,1305.46,1312.72,1302.48,1291.28,1295.96,1300.02,1302.78,1304.78,1306.82,1308.82,1161.700351,1304.793333
BOL,3.475318933,3.542967784,3.612475768,3.683981353,3.75758331,3.833349949,3.911312656,3.99156651,4.074208437,4.159307671,4.246830056,4.336825441,4.429529216,4.525217391,4.624071818,4.726145112,4.831235115,4.938910736,5.048576572,5.159766454,5.272407459,5.386487584,5.501670821,5.617553771,5.73391489,5.850542786,5.967628542,6.085836795,6.206079572,6.329035355,6.454833379,6.583316717,6.7145066,6.848390104,6.984873996,7.124012739,7.265628173,7.409077818,7.553505031,7.698247946,7.843049017,7.98794886,8.132945629,8.278169482,8.423713653,8.569495061,8.715447245,8.861677282,9.008352257,9.155582018,9.303372104,9.451679129,9.600539094,9.74998523,9.900032309,10.05066187,10.20179082,6.4338802,9.90022647
BRA,8.895730749,9.161517754,9.434397964,9.711329793,9.990024096,10.26996425,10.55155549,10.83459526,11.11910928,11.40526397,11.69266858,11.98156504,12.27357737,12.57090298,12.87512533,13.18631681,13.5039455,13.82815662,14.15896671,14.49601957,14.83953463,15.18847076,15.53962018,15.88878435,16.23283183,16.57060829,16.90250319,17.22889806,17.55079252,17.86906477,18.1830619,18.4926644,18.79995812,19.10773485,19.41779056,19.73086189,20.0457475,20.35986954,20.66957995,20.97208075,21.26677347,21.55396069,21.83286581,22.10281929,22.36351162,22.61417157,22.8551612,23.08875288,23.31810618,23.54546215,23.77163914,23.995887,24.21694683,24.43284427,24.64209836,24.84438703,25.04005413,17.31608128,24.63977655
BRB,538.7860465,540.8976744,543.2255814,545.4581395,547.3813953,548.9395349,550.2813953,551.6255814,553.2860465,555.4604651,558.2209302,561.4906977,565.0604651,568.6953488,572.172093,575.4511628,578.5674419,581.4697674,584.1325581,586.4976744,588.5581395,590.327907,591.9023256,593.472093,595.172093,597.0604651,599.0953488,601.2255814,603.3906977,605.5209302,607.6162791,609.7302326,611.8348837,613.9883721,616.1837209,618.4697674,620.8023256,623.1395349,625.4,627.5511628,629.5,631.344186,633.1581395,635.0953488,637.2302326,639.6255814,642.2093023,644.927907,647.6046512,650.1604651,652.5604651,654.8488372,656.9976744,659.0348837,660.9697674,662.7813953,664.4627907,602.6325173,660.9286821
BRN,16.24212524,16.98595825,17.75635674,18.56698292,19.43548387,20.36356736,21.34611006,22.38140417,23.46356736,24.58880455,25.7544592,26.95882353,28.18975332,29.43244782,30.67760911,31.92106262,33.16375712,34.39411765,35.60834915,36.80246679,37.96679317,39.11347249,40.25351044,41.40929791,42.60189753,43.82770398,45.08956357,46.38671727,47.7256167,49.10531309,50.52637571,51.98538899,53.46318786,54.93833017,56.39316888,57.81764706,59.21024668,60.57343454,61.91442125,63.23358634,64.53833017,65.81916509,67.05673624,68.22068311,69.28994307,70.25616698,71.1316888,71.96432638,72.82201139,73.74990512,74.76527514,75.85351044,76.98595825,78.12220114,79.22998102,80.3028463,81.34667932,48.40393488,79.21834282
BTN,4.899471352,5.023350384,5.153307793,5.293431501,5.446225628,5.612738908,5.792051024,5.982385549,6.180553475,6.384457334,6.593176808,6.807032939,7.026774822,7.2543073,7.490572095,7.736125677,7.990154742,8.248271729,8.505232969,8.757399996,8.997281853,9.225649038,9.456734371,9.710849047,9.998887058,10.3364938,10.71072063,11.07105708,11.3489502,11.49926161,11.49934722,11.37608886,11.19613467,12.97746231,12.93660804,13.04728643,13.28527638,13.62198492,14.00861809,14.40743719,14.81407035,15.23615578,15.66417085,16.79780675,17.22693286,17.63591049,18.02235223,18.38943254,18.7438151,19.08967128,19.42728966,19.75409922,20.06876197,20.37012357,20.65708214,20.92937534,21.18765905,11.87550632,20.65219368
BWA,0.94798052,0.971961957,0.997570272,1.024824873,1.053746934,1.084489969,1.117205724,1.151947135,1.188643622,1.227386939,1.268044748,1.3107388,1.356046089,1.404716532,1.457201842,1.513692587,1.573811162,1.636731777,1.701279269,1.766551974,1.832260512,1.898415471,1.964849223,2.031464719,2.098201966,2.164716885,2.230893018,2.297069151,2.363778166,2.431337674,2.499834136,2.568829954,2.637398761,2.704324811,2.768679971,2.830377781,2.88962116,2.946067792,2.999421241,3.049670919,3.096598027,3.140742505,3.183771814,3.22786865,3.274666949,3.324754292,3.378000106,3.434353219,3.49351896,3.555248531,3.619605456,3.686614437,3.755769061,3.826465866,3.898147266,3.970603286,4.043655709,2.366178424,3.898405473
CAF,2.45469678,2.498733507,2.545447687,2.594812032,2.646686892,2.701346753,2.758680857,2.817657068,2.876849979,2.935421683,2.993030274,3.050365983,3.108993868,3.171082539,3.23826126,3.31054769,3.387680182,3.470816078,3.561229895,3.659541237,3.767050307,3.882699284,4.001950303,4.118596103,4.22843751,4.329163055,4.422684516,4.514180231,4.611172108,4.718899483,4.839038171,4.969352146,5.106459276,5.245224566,5.381821246,5.515138528,5.645942085,5.774479117,5.901486404,6.027458345,6.151406145,6.272451764,6.391320749,6.509094995,6.626071463,6.744611384,6.863462711,6.975161321,7.069617002,7.140718803,7.185066936,7.207961732,7.222788854,7.248052907,7.297345019,7.375230344,7.478699156,4.816529409,7.30687609
CAN,2.009235158,2.046954366,2.085443355,2.125141997,2.163960891,2.20464925,2.244677798,2.281187352,2.312418417,2.344969104,2.380327838,2.418607446,2.459931094,2.504433052,2.552259798,2.586240077,2.61681133,2.643203779,2.669706197,2.704456255,2.738216596,2.771427095,2.799359103,2.826411364,2.852803813,2.88161557,2.919664684,2.95760383,3.010828602,3.05613564,3.097998683,3.136258386,3.170767943,3.201393741,3.228016464,3.262975463,3.297648543,3.326317341,3.353952434,3.383698924,3.418031101,3.448833289,3.48336341,3.518443373,3.5533034,3.581730817,3.61663736,3.655989052,3.698084788,3.739510266,3.776625307,3.821466628,3.865654736,3.907770267,3.940449068,3.987965483,4.03673422,3.011900023,3.945394939
CHE,137.4796094,141.0092846,144.0560362,146.4589152,148.1600891,149.7167071,151.583308,153.5041996,155.241525,156.3670563,157.1898148,158.3929367,159.5665604,160.4281775,160.3580247,159.4440397,158.9044222,158.9186905,159.238135,159.8716859,160.7486845,161.690675,162.3854736,162.9655443,163.6865339,164.5405652,165.577323,166.7987047,168.1527992,169.888411,172.0250449,173.9321511,175.5234132,176.9282046,178.1144729,178.9073568,179.3433855,179.8816222,180.7461354,181.7693047,182.9277636,184.3214665,185.6987677,186.9844383,188.1956324,189.385176,191.0901154,193.5336319,195.9669754,198.0187519,200.2327665,202.3702045,204.7106489,207.2236309,209.5960117,211.8974086,214.2427624,172.7349329,209.5723504
CHL,10.6117235,10.84974957,11.09221257,11.33890404,11.58938284,11.84365569,12.10079055,12.358341,12.61309937,12.86274834,13.1066168,13.34516605,13.5788305,13.80849244,14.0350839,14.25874878,14.48010173,14.70116014,14.92453317,15.15230817,15.38487113,15.62250986,15.86688132,16.11989531,16.38265468,16.65578348,16.93826896,17.22726796,17.51881156,17.80976743,18.09907845,18.38661013,18.67124482,18.95196037,19.2279727,19.49859051,19.76355422,20.02301986,20.27747562,20.52736668,20.77243347,21.01272709,21.24931005,21.48364563,21.71670352,21.94901094,22.18019803,22.40917943,22.63445554,22.85490604,23.0700992,23.28043178,23.48652378,23.68936105,23.88959856,24.08740175,24.28237924,17.57287016,23.88878712
CHN,70.33579208,70.91523979,72.67967939,74.38606769,76.17873406,78.3319575,80.37174127,82.4978031,84.78949751,87.16374191,89.59124437,91.82009427,93.94083029,95.90179213,97.61084334,99.13295875,100.4931697,101.8469896,103.2146566,104.5173488,105.8647778,107.435358,108.9990147,110.4385801,111.9527068,113.6303358,115.4672063,117.3413575,119.154262,120.9155061,122.576625,124.0880888,125.522861,126.9496445,128.3366211,129.6889829,131.0231002,132.2863841,133.4367607,134.492481,135.4730488,136.3837796,137.2359193,138.0534367,138.8677661,139.6453429,140.3765881,141.0977052,141.8012441,142.4877434,143.1721123,143.8713936,144.5834568,145.317356,146.0576461,146.850662,147.674035,115.51351,146.0752214
CIV,11.61699686,12.07883962,12.56899686,13.07536164,13.59053774,14.1107044,14.6426195,15.20213522,15.81122956,16.48551887,17.23062264,18.04176415,18.91151572,19.82794654,20.78178931,21.77038365,22.7950566,23.85507547,24.95056289,26.08073899,27.24546226,28.44173899,29.6626761,30.89954403,32.14640881,33.39706604,34.65299057,35.92534591,37.2303239,38.57784277,39.96857862,41.39314151,42.83877673,44.28808491,45.72584906,47.15487107,48.57228302,49.95142138,51.25859434,52.47346226,53.58538365,54.61168868,55.59545597,56.59666038,57.66133019,58.80325472,60.01868239,61.31442138,62.69297484,64.15512893,65.70852516,67.35409748,69.07645283,70.85330189,72.66815094,74.51546855,76.39858491,39.0674109,72.67897379
CMR,11.18070487,11.42332931,11.67805208,11.94456644,12.22278776,12.51321741,12.81660849,13.1333841,13.4640033,13.80896321,14.16882444,14.54428296,14.93643672,15.34655074,15.77576527,16.22441878,16.69304436,17.18290072,17.69548984,18.23179962,18.791682,19.37459753,19.9805441,20.6093863,21.26044086,21.93374373,22.62756024,23.33738867,24.05737133,24.78309746,25.51401282,26.25062089,26.99092678,27.7329864,28.47622009,29.21975841,29.96641281,30.72405915,31.50322819,32.31206025,33.15336464,34.02696368,34.93436145,35.8762899,36.85302828,37.86584164,38.91474477,39.99705528,41.10880032,42.24682152,43.41022403,44.59897823,45.81184024,47.04766982,48.30556155,49.58471156,50.88474329,26.22898647,48.31264764
COD,6.897833308,7.075831146,7.261388148,7.456352088,7.661887916,7.878909155,8.106664608,8.342649258,8.583358991,8.826419797,9.070318255,9.316133301,9.567163936,9.828156856,10.10225579,10.39195033,10.69563971,11.00754505,11.31950508,11.62632584,11.92715997,12.22616925,12.52944399,12.84553671,13.18164399,13.53557442,13.90786396,14.31117796,14.76166869,15.26855649,15.84209656,16.47345537,17.12957147,17.76480492,18.34796057,18.86616705,19.33355947,19.7792413,20.24598796,20.76548246,21.34683311,21.98264529,22.66823978,23.39349242,24.15097858,24.94122803,25.76809598,26.63091154,27.52891864,28.46133213,29.42749256,30.42662579,31.45763569,32.51929159,33.61047132,34.73066452,35.87922101,17.10497349,33.62014248
