2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
52.0,49.0,46.7,44.2,42.0,39.7,38.5,37.2,35.6,33.7,32.1,30.7,29.0,26.9,24.7,22.8,21.4
2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.3,4.3,4.5,4.5,4.5,4.4,4.4,4.4,4.4,4.4
2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
10.5,10.8,11.3,11.4,11.2,10.9,11.0,11.2,11.5,11.3,10.8,10.0,9.4,9.0,8.8,9.1,9.4
2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
13.5,13.6,11.4,9.2,7.9,7.2,7.0,6.8,6.7,7.0,7.7,8.1,8.0,7.6,7.5,7.4,7.4
15.6,13.6,12.0,11.0,10.1,9.3,8.3,7.3,6.3,5.6,5.3,5.5,5.9,6.3,6.4,6.3,6.1
26.3,25.5,24.7,23.8,22.5,21.3,20.2,19.3,18.5,18.0,17.6,17.3,16.9,16.8,17.0,18.5,19.7
13.1,12.9,13.8,14.6,15.1,15.1,14.5,12.9,11.3,10.0,9.3,9.1,9.4,9.7,9.9,9.8,9.6
25.7,24.4,24.2,24.5,24.6,24.4,24.1,23.7,23.3,22.8,22.2,22.2,22.8,24.1,25.4,26.1,26.0
2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
20.5,18.1,16.4,15.8,15.8,15.8,15.8,15.7,15.9,15.7,15.8,15.8,16.4,16.6,16.5,16.1,15.8
8.3,7.9,8.1,8.5,9.0,9.4,10.0,10.6,11.2,11.4,11.2,10.5,9.5,8.7,8.1,7.8,7.5
2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
19.6,18.5,17.8,17.5,17.3,17.0,16.3,15.7,15.3,15.2,15.2,15.2,15.3,15.4,15.6,15.5,15.3
10.4,7.8,5.8,4.4,3.5,2.9,2.5,2.5,2.5,2.5,2.5,2.6,2.5,2.5,2.5,2.5,2.5
54.9,56.0,56.9,57.6,57.6,57.1,55.9,54.5,52.5,50.8,49.5,49.5,49.6,49.6,48.8,47.5,45.8
2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
17.8,18.2,18.4,18.4,18.4,18.5,18.3,17.8,16.9,14.8,12.4,10.1,8.5,7.6,6.9,7.3,7.7
18.2,19.4,21.0,22.2,22.8,22.2,20.7,19.2,18.1,17.7,17.5,17.4,17.2,16.7,16.0,15.3,14.8
2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
4.9,5.4,5.7,5.8,5.9,6.1,6.4,6.5,6.4,6.1,5.8,5.7,5.6,5.4,5.2,5.1,4.9
28.3,26.9,26.6,27.1,27.4,28.2,29.3,30.0,29.7,28.5,27.3,26.7,26.8,27.4,27.7,27.8,27.7
2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
7.4,6.8,6.6,6.6,6.8,7.0,7.3,7.7,8.2,8.6,8.8,9.0,9.2,9.3,9.3,9.0,8.9
12.6,10.9,9.0,7.6,6.8,6.6,6.8,7.1,7.6,7.9,8.2,8.6,9.5,10.7,12.0,12.9,13.5
2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
5.9,5.7,5.7,5.9,6.1,5.9,5.2,4.3,3.8,3.4,3.1,2.7,2.5,2.5,2.5,2.5,2.5
31.3,31.8,33.2,33.0,31.3,28.2,26.4,25.6,25.4,24.5,23.5,22.5,21.6,20.8,20.8,22.5,24.2
16.3,15.8,14.4,12.0,10.3,9.7,10.1,10.2,9.8,9.0,8.3,7.8,7.3,6.9,6.6,6.5,6.5
29.3,26.0,23.3,21.8,20.8,20.0,19.2,18.8,18.7,18.8,18.8,18.7,18.8,18.8,18.8,18.7,18.5
