Neonatal disorders (deaths),Neonatal disorders (deaths),Neonatal disorders (deaths),Neonatal disorders (deaths),Neonatal disorders (deaths),Neonatal disorders (deaths),Neonatal disorders (deaths),Neonatal disorders (deaths),Neonatal disorders (deaths),Neonatal disorders (deaths),Neonatal disorders (deaths),Neonatal disorders (deaths),Neonatal disorders (deaths),Neonatal disorders (deaths),Neonatal disorders (deaths),Neonatal disorders (deaths),Neonatal disorders (deaths),Neonatal disorders (deaths),Neonatal disorders (deaths),Neonatal disorders (deaths),Neonatal disorders (deaths),Neonatal disorders (deaths),Neonatal disorders (deaths),Neonatal disorders (deaths),Neonatal disorders (deaths),Neonatal disorders (deaths),Neonatal disorders (deaths),Neonatal disorders (deaths),Maternal disorders (deaths),Maternal disorders (deaths),Maternal disorders (deaths),Maternal disorders (deaths),Maternal disorders (deaths),Maternal disorders (deaths),Maternal disorders (deaths),Maternal disorders (deaths),Maternal disorders (deaths),Maternal disorders (deaths),Maternal disorders (deaths),Maternal disorders (deaths),Maternal disorders (deaths),Maternal disorders (deaths),Maternal disorders (deaths),Maternal disorders (deaths),Maternal disorders (deaths),Maternal disorders (deaths),Maternal disorders (deaths),Maternal disorders (deaths),Maternal disorders (deaths),Maternal disorders (deaths),Maternal disorders (deaths),Maternal disorders (deaths),Maternal disorders (deaths),Maternal disorders (deaths),Maternal disorders (deaths),Maternal disorders (deaths)
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
18075.80029,18349.129969999998,19982.149559999998,27291.235289999997,29862.68087,30758.544710000002,31818.950689999998,32260.11561,32335.49748,32144.170110000003,29562.61195,29730.89428,28324.18976,31901.5338,30717.44577,30810.793889999997,30852.91548,28477.081110000003,28234.015839999996,27897.48112,27018.70695,27198.62872,26830.68622,26942.20345,27446.64994,27252.067580000003,26997.50895,27521.74124,2283.021996,2337.414404,2781.918017,3336.7966079999997,3558.597715,3706.526833,3846.3939729999997,3989.500868,4106.889089,4018.0328719999998,3931.6525409999995,3975.929836,4271.732411999999,4570.640176,4602.209032,4816.308693,4750.416622,4810.833684,4873.807409,4819.714079,4716.802422,4626.998772,4492.248392,4406.89357,4312.467008,4179.915115,4090.733179,4095.49132
17131.71846,17531.83464,17897.80714,18339.6649,18720.018930000002,19043.20033,19286.03739,19528.51447,19697.924759999998,19906.36619,20105.875030000003,20195.14202,20401.65236,20619.52066,20805.296430000002,20819.65611,20734.76529,20610.50017,20418.87561,20296.666119999998,20162.170980000003,19944.747,19784.227,19594.93166,19233.78837,18761.43667,18257.63823,17881.91365,2083.29646,2134.859871,2213.5607809999997,2356.251198,2485.188317,2482.602796,2300.637607,2264.73312,2613.1652510000004,2528.2067829999996,2540.4943,2469.2405989999997,2367.5134350000003,2467.15551,2443.35408,2519.544946,2566.3069170000003,2567.9854219999997,2489.2171120000003,2471.200331,2417.634766,2369.940352,2343.967684,2302.889795,2259.630368,2225.439946,2153.835737,2126.952851
846.5053377999999,828.1989371000001,809.5933592,789.2113764999999,775.8911955,751.3741444,728.6278114,701.5815201,676.0690994,787.4173397000001,610.5791383,546.342298,499.3210147,453.21184919999996,409.8671108,374.84801160000006,342.5668627,311.5199067,291.232187,267.4088049,248.8612219,238.86391,226.75230580000002,216.11225869999998,207.6695874,196.72295309999998,190.96028869999998,183.6850631,25.55167238,22.97281892,19.3946581,16.47582565,13.68606993,11.87237951,10.60900416,9.409287512,9.194076243,8.026764737999999,7.30391129,6.48810938,6.24859185,5.916338712999999,5.76874232,5.93362197,5.700785816000001,5.139012475,4.903030678,4.493579052,4.2922285680000005,4.202890587,4.075208117,3.96240886,3.826945195,3.694416972,3.594030253,3.4757189669999997
1.3507077809999999,1.480915155,1.566171917,1.472416914,1.3341894429999999,1.246913967,1.167342477,1.112913034,1.041013748,0.971920384,0.882480857,0.817290045,0.76377045,0.884215827,0.981641207,1.009884003,0.992183368,0.971965662,0.95094702,0.878614572,0.821334006,0.757719079,0.6882651590000001,0.605936782,0.539943712,0.471907067,0.458749065,0.43630927700000005,0.040999182,0.04452481,0.046516207000000004,0.047192473,0.045603566,0.043464157,0.042602845,0.041909028,0.04104541,0.040130097999999996,0.038854685,0.037791518999999996,0.037007249,0.041315961,0.045051744000000005,0.045720579000000004,0.04642932,0.04662065,0.046542192999999996,0.045019118,0.043198371,0.039668632,0.037372643,0.035050368,0.033605841000000004,0.032237676,0.031772953,0.031862768
333.05364080000004,304.307539,277.47092610000004,254.5705545,234.27955130000004,217.4314134,204.2909774,199.4238327,203.7866426,212.9088318,221.15421290000003,230.12334810000002,240.19410730000004,250.9588599,261.3398069,268.04350159999996,271.91673419999995,321.79387510000004,389.9940803,528.837895,531.9164419,516.9488531999999,483.683927,456.32726720000005,421.6490952,385.6313003,354.67170310000006,319.4348855,6.522740451000001,6.469006952999999,6.477057576,6.52892556,6.530716455,6.536812619,6.541750035,6.509274832000001,6.472087462,6.457012288,6.4707590989999995,6.712273398,6.845270247,6.899791682999999,6.801430077999999,6.486055263,6.291804343,7.389171769,8.254717411,9.677205537999999,9.915747475,10.14807373,10.442943,10.703211999999999,10.96178413,11.12443822,11.20575541,11.30270619
8739.161622,8531.967702,8041.108458,7692.751903,7262.287275,7060.767714,6926.771306999999,6560.614726,6531.415137,6086.36709,5869.783222999999,5646.850381,5868.220865,5696.996666,5201.014022,4714.253890999999,4512.160473,4563.934351,4501.571986999999,4368.7677109999995,4300.762782,4210.249602000001,4008.425438,4007.339071,3978.993942,3704.276003,3668.1493450000003,3600.109017,453.71569129999995,437.367875,427.5330791999999,415.12508439999993,380.196568,398.22191039999996,419.20262610000003,390.39376,390.61321089999996,416.2080552,385.9312465,423.24683480000004,465.9529188,448.1789427,427.359363,408.440847,433.3502543000001,448.14363660000004,421.45721430000003,481.9556466,435.5076495,413.1925448,390.9223307,383.92024330000004,391.0921613,396.5058533,380.27160089999995,378.84051919999996
1228.9361880000001,1120.699932,1028.026601,948.1173004000001,876.777293,800.4929811000001,733.9044717,659.3001868,581.3474307,512.0322284,464.811646,426.966418,384.6235559,348.6541514,321.474196,288.3083206,247.86153560000002,216.5716753,214.4799042,216.84756549999997,215.9752877,209.9403437,189.3268758,174.3442275,164.8473298,155.7572988,149.89186809999998,140.9516571,34.81884164,25.74441977,19.30118104,23.00835187,20.13737869,23.34332267,18.9069729,20.95899725,15.24895738,16.90865932,20.73140544,12.60371387,8.688354432999999,12.46284186,11.29693125,11.100424199999999,10.79427653,10.97525718,14.24374896,12.15262497,6.873955135,7.616526368,7.015135869,9.293928059,7.790924405,8.420933682000001,12.43478326,9.133618874
11.92497529,11.91066036,11.91509894,11.96237716,11.90171875,11.801362300000001,11.61857412,11.34616056,11.27801465,10.88510962,10.42119891,10.10386956,9.886563995,9.465225752,8.803110903,8.076296075,7.516737012999999,6.934436697000001,6.460100681,6.083827275,5.680488081,5.296794521,5.0605502819999995,4.938037918,4.856094423,4.758724411,4.668500344,4.608329998,0.825168377,0.865726676,0.906852533,0.9284458520000001,0.948803409,0.970618034,0.9892721609999999,1.013439293,0.982143045,1.0209710859999999,1.018016127,1.076907899,1.092812287,1.126024696,1.151612075,1.180225289,1.204402526,1.212739888,1.207994303,1.2169075520000001,1.207513488,1.21535953,1.2375406279999999,1.273381375,1.2574841490000002,1.258819802,1.228537022,1.2083368
7.260521827000001,7.486819812999999,8.02927617,8.782417072000001,9.333456048,9.843495788,10.21626595,10.30432228,10.29653221,10.275711900000001,10.17234511,10.07511338,9.810887532,9.341383468,9.166490174,8.558175966,8.037367123,7.578199405,7.034178869,6.647407359,6.334925623999999,6.073584499,5.827963484,5.662414504,5.465934429,5.292131567,5.196693137,5.107089762,0.573182095,0.5600840229999999,0.550850194,0.522390822,0.576175234,0.572539541,0.48736885700000004,0.542607376,0.526822954,0.539897648,0.503094012,0.509118909,0.5236666,0.5115628,0.526169671,0.499599649,0.49182317,0.458635371,0.515528243,0.502384786,0.530630825,0.575236709,0.6974031279999999,0.708748066,0.626507652,0.7472474570000001,0.653525817,0.640170667
