1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
44.1,45.4,46.6,47.1,47.6,47.7,48.3,48.5,48.3,47.3,47.1,46.5,45.5,44.9,44.3,44.7,44.9,44.9,44.7,43.8,43.2,42.56,41.9,42.6,43.0,43.0,44.8,44.6,47.6
34.961,37.266999999999996,37.394,36.89,37.205,36.934,35.934,34.83,32.209,32.146,32.9981,33.5146,34.4191,34.2519,34.8425,33.2663,30.2083,28.1458,26.2561,25.396,25.4941,25.5137,26.6375,26.6457,28.6451,28.1748,28.3053,28.055,27.3276
44.9195,53.1687,51.3128,47.7955,46.4836,41.2119,40.6738,37.3936,35.3194,33.9559,34.0201,34.4636,34.7016,30.3514,28.0078,28.8322,27.8172,26.4945,29.0217,32.2621,24.7251,24.8728,26.768,25.8995,26.3225,35.1843,30.7028,30.4543,33.1161
41.11,52.176,53.336000000000006,54.535,54.126000000000005,54.357,53.071999999999996,53.114,53.771,52.425,51.521,49.56100000000001,47.2403,47.1492,46.9577,47.8873,48.3807,48.3537,47.7228,46.9218,47.0659,46.8597,47.2242,46.3366,45.5436,44.7942,44.1914,43.7591,43.744
,,,,61.43,68.8,65.27,59.42,56.97,,59.416000000000004,64.3101,60.341,60.0359,55.3363,53.6141,53.0347,54.0739,52.6965,51.5552,50.9376,51.9079,51.7074,53.4885,52.8954,51.6315,51.751000000000005,52.9072,55.9903
53.35,56.87,57.03,56.89,57.29,50.29,,,,,49.38,51.2382,50.9038,52.4495,50.1083,48.6627,47.7545,44.977,42.496,41.5858,42.9101,42.4045,42.7067,43.2161,44.0852,45.9904,45.1011,44.7864,45.641000000000005
59.5881,60.3447,60.9152,60.483999999999995,60.5874,62.0037,61.1104,63.0771,66.10600000000001,67.7018,72.1551,73.5745,73.9194,73.5667,71.9973,67.3191,67.1879,69.5766,70.3173,70.0325,68.2602,68.0851,69.214,69.1982,67.3536,68.4665,68.1978,68.3459,68.8744
60.508,57.659,56.743,55.476000000000006,55.433,54.8388,60.8423,63.7035,65.8016,64.7337,65.9922,66.1175,65.5339,63.6572,62.9587,60.3115,57.43899999999999,58.8244,61.9768,57.8946,56.7147,55.6171,57.0253,57.0227,54.4139,55.9032,54.5614,53.7432,54.3474
68.4879,67.3939,65.5264,64.693,66.0262,67.1,66.9826,66.7207,64.9535,62.9427,62.6794,62.9698,63.6322,62.4099,62.18600000000001,62.3512,64.4081,64.3733,62.6833,60.7049,59.0828,58.5466,58.3774,57.9154,59.9873,61.3124,62.2543,63.0255,63.6548
43.61,48.36,,51.75,51.03,50.94,,50.46,50.53,50.67,,,49.06,49.51,49.27,48.92,47.0,47.13,49.75,49.79,44.3843,41.1891,44.3536,44.6378,42.4795,41.4653,41.608000000000004,41.6364,43.6307
,42.64,,45.23,47.88,44.42,,52.81,54.86,57.0,52.05,55.16,60.5231,62.4711,64.7871,61.8005,64.6692,66.7481,67.2895,67.5066,68.1427,66.5701,66.2861,64.7958,63.385,59.6702,59.1007,60.8305,54.0257
50.01,49.94,50.39,49.74,49.06,50.08,50.16,48.56,50.02,49.11,47.28,44.4797,49.08,43.0539,43.7693,43.3837,42.758,41.9711,41.4711,41.8435,41.4322,43.1417,42.6261,41.8305,42.5558,40.4602,39.9301,37.104,35.701
,,44.782,42.218,41.521,39.681,38.961,36.0116,35.3194,34.4982,37.5172,39.7874,37.731,36.1675,35.1434,35.6917,34.1683,32.9784,33.0686,33.7668,34.58,33.5303,33.5811,33.2956,33.8612,32.8314,34.5086,34.8035,35.0858
58.4159,56.5943,50.9513,47.5,45.228,43.1359,42.3124,44.1605,47.0859,46.3318,44.7881,46.5479,47.1152,44.8519,42.6368,42.1186,41.6532,41.3293,40.8908,38.6967,36.1187,38.1509,37.0759,35.0021,34.3034,33.5269,33.1671,33.9839,34.1795
,,54.665,52.532,50.869,50.415,47.068999999999996,43.215,40.538000000000004,45.17100000000001,43.641000000000005,40.835,40.509,39.174,39.373000000000005,39.201,38.891999999999996,39.406,41.838,42.1,41.232,41.3916,39.575,39.8742,38.7875,37.9212,37.6676,35.3721,34.1276
51.01,47.28,50.25,51.97,51.36,50.18,47.74,46.73,50.91,49.32,,,45.71,48.72,46.99,,47.54,47.08,,50.44,47.5258,47.7671,48.1882,47.5415,46.3055,45.7234,46.1946,46.5902,46.3281
,58.59,,52.09,47.358000000000004,46.278999999999996,46.621,47.02,45.3974,45.7535,44.7635,45.2858,42.7716,40.6539,39.1247,36.6498,35.3483,34.6258,32.4001,31.3956,31.0691,30.0744,30.4883,30.7767,30.9755,31.721999999999998,32.4081,33.1825,32.2883
,48.53,,31.29,39.46,41.64,42.6347,46.0639,43.9607,40.4076,37.2954,35.9754,36.5662,33.7509,39.3322,40.5185,40.6145,41.8303,42.8842,40.8806,39.9259,37.4216,34.3728,33.834,33.5974,35.3445,33.7448,39.125,38.5564
69.086,65.84,60.37,54.906000000000006,53.553999999999995,45.4416,43.1467,41.0775,40.596,42.3018,40.7133,52.3577,50.5181,50.6232,48.543,49.8893,51.3371,52.2402,52.8427,51.0223,51.6313,52.9841,52.5851,54.4972,55.448,55.1353,54.8414,54.7001,54.2271
77.53,,,,63.79,,60.6,59.24,56.72,53.35,53.36,54.18,,51.39,52.21,51.64,48.85,49.47,48.99,48.83,46.7301,47.95,47.5,44.9001,42.9442,42.0604,41.582,40.8354,41.6287
54.67,55.348,52.978,48.07899999999999,51.138999999999996,48.599,48.53,47.019,46.001999999999995,46.636,42.521,42.108999999999995,40.858000000000004,38.399,37.787,37.731,36.2734,36.4935,37.1389,37.4442,37.3658,38.47,37.3711,38.8208,40.785,41.7789,42.3435,43.2164,43.8131
32.16,53.87,54.24,54.12,57.55,58.38,57.41,,59.5569,57.5224,57.9674,59.5291,55.1223,52.5007,52.6941,53.0641,53.4032,55.0458,53.8882,54.1167,53.6491,54.6253,53.4256,53.36600000000001,53.0747,50.6344,49.4605,48.0283,47.7374
67.3,66.0,66.1,66.1,66.5469,66.4379,65.7047,65.7105,65.8716,65.4774,65.8057,64.5272,63.2848,61.5572,61.1442,60.7802,60.6171,59.3889,58.7769,56.8591,55.1658,54.9689,55.8161,55.0496,55.0078,54.9963,55.1649,55.4664,55.2156
